Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9524116k free), swap 23213284k(9187420k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:10:16.241+0200: 0.314: [GC (Allocation Failure) 2020-09-29T18:10:16.241+0200: 0.314: [ParNew: 545344K->45047K(613440K), 0.0428173 secs] 545344K->45047K(2029056K), 0.0429727 secs] [Times: user=0.22 sys=0.03, real=0.04 secs] 
2020-09-29T18:10:16.337+0200: 0.409: [GC (Allocation Failure) 2020-09-29T18:10:16.337+0200: 0.409: [ParNew: 589498K->38953K(613440K), 0.0244309 secs] 589498K->39345K(2029056K), 0.0245062 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:10:16.408+0200: 0.481: [GC (Allocation Failure) 2020-09-29T18:10:16.408+0200: 0.481: [ParNew: 584297K->55780K(613440K), 0.0270135 secs] 584689K->56172K(2029056K), 0.0270806 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:10:16.485+0200: 0.558: [GC (Allocation Failure) 2020-09-29T18:10:16.485+0200: 0.558: [ParNew: 601124K->36940K(613440K), 0.0269869 secs] 601516K->37332K(2029056K), 0.0270588 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:10:16.564+0200: 0.637: [GC (Allocation Failure) 2020-09-29T18:10:16.564+0200: 0.637: [ParNew: 582284K->60298K(613440K), 0.0323748 secs] 582676K->60690K(2029056K), 0.0324514 secs] [Times: user=0.24 sys=0.00, real=0.03 secs] 
2020-09-29T18:10:16.645+0200: 0.718: [GC (Allocation Failure) 2020-09-29T18:10:16.645+0200: 0.718: [ParNew: 605642K->38250K(613440K), 0.0138273 secs] 606034K->38642K(2029056K), 0.0138999 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T18:10:16.718+0200: 0.791: [GC (Allocation Failure) 2020-09-29T18:10:16.718+0200: 0.791: [ParNew: 583594K->44015K(613440K), 0.0278483 secs] 583986K->44408K(2029056K), 0.0279163 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:10:16.795+0200: 0.868: [GC (Allocation Failure) 2020-09-29T18:10:16.795+0200: 0.868: [ParNew: 589359K->27720K(613440K), 0.0105509 secs] 589752K->28112K(2029056K), 0.0106195 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:10:16.873+0200: 0.945: [GC (Allocation Failure) 2020-09-29T18:10:16.873+0200: 0.945: [ParNew: 573064K->42054K(613440K), 0.0259624 secs] 573456K->42447K(2029056K), 0.0260341 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:10:16.952+0200: 1.025: [GC (Allocation Failure) 2020-09-29T18:10:16.952+0200: 1.025: [ParNew: 587398K->50758K(613440K), 0.0250645 secs] 587791K->51150K(2029056K), 0.0251491 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:10:17.029+0200: 1.102: [GC (Allocation Failure) 2020-09-29T18:10:17.029+0200: 1.102: [ParNew: 596102K->39649K(613440K), 0.0209892 secs] 596494K->40041K(2029056K), 0.0210735 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
