Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9553884k free), swap 23213284k(9185180k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:23:47.322+0200: 0.292: [GC (Allocation Failure) 2020-09-29T18:23:47.322+0200: 0.292: [ParNew: 545344K->30500K(613440K), 0.0342533 secs] 545344K->30500K(2029056K), 0.0344170 secs] [Times: user=0.17 sys=0.08, real=0.03 secs] 
2020-09-29T18:23:47.407+0200: 0.376: [GC (Allocation Failure) 2020-09-29T18:23:47.407+0200: 0.376: [ParNew: 575844K->33743K(613440K), 0.0228185 secs] 575844K->33743K(2029056K), 0.0228834 secs] [Times: user=0.20 sys=0.05, real=0.02 secs] 
2020-09-29T18:23:47.476+0200: 0.446: [GC (Allocation Failure) 2020-09-29T18:23:47.476+0200: 0.446: [ParNew: 579087K->48977K(613440K), 0.0275155 secs] 579087K->48977K(2029056K), 0.0275934 secs] [Times: user=0.24 sys=0.02, real=0.03 secs] 
2020-09-29T18:23:47.551+0200: 0.521: [GC (Allocation Failure) 2020-09-29T18:23:47.551+0200: 0.521: [ParNew: 594321K->43978K(613440K), 0.0261992 secs] 594321K->44371K(2029056K), 0.0262684 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:23:47.636+0200: 0.606: [GC (Allocation Failure) 2020-09-29T18:23:47.636+0200: 0.606: [ParNew: 589322K->62553K(613440K), 0.0332846 secs] 589715K->62945K(2029056K), 0.0333741 secs] [Times: user=0.20 sys=0.01, real=0.03 secs] 
2020-09-29T18:23:47.719+0200: 0.689: [GC (Allocation Failure) 2020-09-29T18:23:47.719+0200: 0.689: [ParNew: 607897K->46394K(613440K), 0.0221248 secs] 608289K->46786K(2029056K), 0.0222085 secs] [Times: user=0.23 sys=0.02, real=0.02 secs] 
2020-09-29T18:23:47.801+0200: 0.771: [GC (Allocation Failure) 2020-09-29T18:23:47.801+0200: 0.771: [ParNew: 591738K->45018K(613440K), 0.0289900 secs] 592130K->45410K(2029056K), 0.0290741 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:23:47.882+0200: 0.852: [GC (Allocation Failure) 2020-09-29T18:23:47.882+0200: 0.852: [ParNew: 590362K->58589K(613440K), 0.0275272 secs] 590754K->58981K(2029056K), 0.0276018 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:23:47.964+0200: 0.934: [GC (Allocation Failure) 2020-09-29T18:23:47.964+0200: 0.934: [ParNew: 603933K->68096K(613440K), 0.0342375 secs] 604325K->68687K(2029056K), 0.0343069 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:23:48.049+0200: 1.019: [GC (Allocation Failure) 2020-09-29T18:23:48.049+0200: 1.019: [ParNew: 613440K->68096K(613440K), 0.0445574 secs] 614031K->72016K(2029056K), 0.0446249 secs] [Times: user=0.34 sys=0.03, real=0.05 secs] 
2020-09-29T18:23:48.141+0200: 1.111: [GC (Allocation Failure) 2020-09-29T18:23:48.141+0200: 1.111: [ParNew: 613440K->56666K(613440K), 0.0250644 secs] 617360K->60587K(2029056K), 0.0251312 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
