Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9555576k free), swap 23213284k(9176960k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:19:18.591+0200: 0.311: [GC (Allocation Failure) 2020-09-29T18:19:18.591+0200: 0.311: [ParNew: 545344K->38832K(613440K), 0.0455040 secs] 545344K->38832K(2029056K), 0.0457140 secs] [Times: user=0.19 sys=0.06, real=0.04 secs] 
2020-09-29T18:19:18.703+0200: 0.423: [GC (Allocation Failure) 2020-09-29T18:19:18.703+0200: 0.423: [ParNew: 584176K->40495K(613440K), 0.0582774 secs] 584176K->40888K(2029056K), 0.0584012 secs] [Times: user=0.47 sys=0.03, real=0.06 secs] 
2020-09-29T18:19:18.814+0200: 0.535: [GC (Allocation Failure) 2020-09-29T18:19:18.815+0200: 0.535: [ParNew: 585839K->37679K(613440K), 0.0275545 secs] 586232K->38071K(2029056K), 0.0276521 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:19:18.894+0200: 0.614: [GC (Allocation Failure) 2020-09-29T18:19:18.894+0200: 0.614: [ParNew: 583023K->33513K(613440K), 0.0263620 secs] 583415K->33906K(2029056K), 0.0264490 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:19:18.977+0200: 0.698: [GC (Allocation Failure) 2020-09-29T18:19:18.977+0200: 0.698: [ParNew: 578857K->38366K(613440K), 0.0144963 secs] 579250K->38758K(2029056K), 0.0145519 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:19:19.042+0200: 0.762: [GC (Allocation Failure) 2020-09-29T18:19:19.042+0200: 0.762: [ParNew: 583710K->33043K(613440K), 0.0137827 secs] 584102K->33436K(2029056K), 0.0138401 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:19:19.103+0200: 0.823: [GC (Allocation Failure) 2020-09-29T18:19:19.103+0200: 0.823: [ParNew: 578387K->55375K(613440K), 0.0248520 secs] 578780K->55767K(2029056K), 0.0249076 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:19:19.175+0200: 0.895: [GC (Allocation Failure) 2020-09-29T18:19:19.175+0200: 0.895: [ParNew: 600719K->43477K(613440K), 0.0127859 secs] 601111K->43870K(2029056K), 0.0128449 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:19:19.239+0200: 0.959: [GC (Allocation Failure) 2020-09-29T18:19:19.239+0200: 0.959: [ParNew: 588821K->60294K(613440K), 0.0228845 secs] 589214K->60687K(2029056K), 0.0229408 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:19:19.309+0200: 1.029: [GC (Allocation Failure) 2020-09-29T18:19:19.309+0200: 1.029: [ParNew: 605638K->46513K(613440K), 0.0158389 secs] 606031K->46905K(2029056K), 0.0158898 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:19:19.376+0200: 1.096: [GC (Allocation Failure) 2020-09-29T18:19:19.376+0200: 1.096: [ParNew: 591857K->60649K(613440K), 0.0212630 secs] 592249K->61042K(2029056K), 0.0213313 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
