Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9586436k free), swap 23213284k(9183168k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:14:47.037+0200: 0.262: [GC (Allocation Failure) 2020-09-29T18:14:47.037+0200: 0.262: [ParNew: 545344K->44723K(613440K), 0.0425645 secs] 545344K->44723K(2029056K), 0.0427122 secs] [Times: user=0.20 sys=0.05, real=0.04 secs] 
2020-09-29T18:14:47.128+0200: 0.354: [GC (Allocation Failure) 2020-09-29T18:14:47.128+0200: 0.354: [ParNew: 590067K->51699K(613440K), 0.0298676 secs] 590067K->52091K(2029056K), 0.0299294 secs] [Times: user=0.17 sys=0.00, real=0.03 secs] 
2020-09-29T18:14:47.208+0200: 0.433: [GC (Allocation Failure) 2020-09-29T18:14:47.208+0200: 0.433: [ParNew: 597043K->42612K(613440K), 0.0162626 secs] 597435K->43004K(2029056K), 0.0163172 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:47.275+0200: 0.500: [GC (Allocation Failure) 2020-09-29T18:14:47.275+0200: 0.500: [ParNew: 587956K->44431K(613440K), 0.0202879 secs] 588348K->44823K(2029056K), 0.0203415 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:47.345+0200: 0.571: [GC (Allocation Failure) 2020-09-29T18:14:47.345+0200: 0.571: [ParNew: 589775K->47906K(613440K), 0.0184332 secs] 590167K->48298K(2029056K), 0.0184932 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:47.413+0200: 0.639: [GC (Allocation Failure) 2020-09-29T18:14:47.413+0200: 0.639: [ParNew: 593250K->34872K(613440K), 0.0130941 secs] 593642K->35265K(2029056K), 0.0131493 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:14:47.473+0200: 0.699: [GC (Allocation Failure) 2020-09-29T18:14:47.473+0200: 0.699: [ParNew: 580216K->34559K(613440K), 0.0180241 secs] 580609K->34951K(2029056K), 0.0180875 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:47.544+0200: 0.770: [GC (Allocation Failure) 2020-09-29T18:14:47.544+0200: 0.770: [ParNew: 579903K->24814K(613440K), 0.0107426 secs] 580295K->25206K(2029056K), 0.0107982 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:14:47.610+0200: 0.836: [GC (Allocation Failure) 2020-09-29T18:14:47.610+0200: 0.836: [ParNew: 570158K->26569K(613440K), 0.0147103 secs] 570550K->26961K(2029056K), 0.0147686 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:47.676+0200: 0.902: [GC (Allocation Failure) 2020-09-29T18:14:47.676+0200: 0.902: [ParNew: 571913K->52292K(613440K), 0.0249093 secs] 572305K->52685K(2029056K), 0.0249644 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:47.751+0200: 0.976: [GC (Allocation Failure) 2020-09-29T18:14:47.751+0200: 0.976: [ParNew: 597636K->45207K(613440K), 0.0181785 secs] 598029K->45599K(2029056K), 0.0182469 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:47.820+0200: 1.045: [GC (Allocation Failure) 2020-09-29T18:14:47.820+0200: 1.045: [ParNew: 590551K->35474K(613440K), 0.0140198 secs] 590943K->35867K(2029056K), 0.0141047 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:14:47.891+0200: 1.116: [GC (Allocation Failure) 2020-09-29T18:14:47.891+0200: 1.117: [ParNew: 580818K->34952K(613440K), 0.0168628 secs] 581211K->35345K(2029056K), 0.0169267 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:47.958+0200: 1.184: [GC (Allocation Failure) 2020-09-29T18:14:47.958+0200: 1.184: [ParNew: 580296K->48908K(613440K), 0.0254334 secs] 580689K->49300K(2029056K), 0.0255253 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:14:48.033+0200: 1.259: [GC (Allocation Failure) 2020-09-29T18:14:48.033+0200: 1.259: [ParNew: 594252K->54953K(613440K), 0.0232761 secs] 594644K->55346K(2029056K), 0.0234271 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:48.106+0200: 1.331: [GC (Allocation Failure) 2020-09-29T18:14:48.106+0200: 1.331: [ParNew: 600297K->38117K(613440K), 0.0135204 secs] 600690K->38509K(2029056K), 0.0135808 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:14:48.168+0200: 1.394: [GC (Allocation Failure) 2020-09-29T18:14:48.168+0200: 1.394: [ParNew: 583461K->53892K(613440K), 0.0228976 secs] 583853K->54284K(2029056K), 0.0229630 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:48.240+0200: 1.465: [GC (Allocation Failure) 2020-09-29T18:14:48.240+0200: 1.465: [ParNew: 599236K->68096K(613440K), 0.0227980 secs] 599628K->68488K(2029056K), 0.0228618 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:48.311+0200: 1.536: [GC (Allocation Failure) 2020-09-29T18:14:48.311+0200: 1.536: [ParNew: 613440K->43641K(613440K), 0.0158914 secs] 613832K->44034K(2029056K), 0.0159506 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:48.375+0200: 1.600: [GC (Allocation Failure) 2020-09-29T18:14:48.375+0200: 1.600: [ParNew: 588985K->45283K(613440K), 0.0196885 secs] 589378K->45676K(2029056K), 0.0197724 secs] [Times: user=0.14 sys=0.01, real=0.02 secs] 
2020-09-29T18:14:48.444+0200: 1.669: [GC (Allocation Failure) 2020-09-29T18:14:48.444+0200: 1.669: [ParNew: 590627K->54953K(613440K), 0.0208896 secs] 591020K->55346K(2029056K), 0.0209682 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:48.512+0200: 1.738: [GC (Allocation Failure) 2020-09-29T18:14:48.512+0200: 1.738: [ParNew: 600297K->40594K(613440K), 0.0201024 secs] 600690K->40986K(2029056K), 0.0201628 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:48.581+0200: 1.806: [GC (Allocation Failure) 2020-09-29T18:14:48.581+0200: 1.806: [ParNew: 585938K->40154K(613440K), 0.0179277 secs] 586330K->40546K(2029056K), 0.0180023 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:48.659+0200: 1.884: [GC (Allocation Failure) 2020-09-29T18:14:48.659+0200: 1.884: [ParNew: 585498K->38553K(613440K), 0.0167002 secs] 585890K->38945K(2029056K), 0.0167617 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:48.724+0200: 1.950: [GC (Allocation Failure) 2020-09-29T18:14:48.724+0200: 1.950: [ParNew: 583897K->61559K(613440K), 0.0223090 secs] 584289K->61951K(2029056K), 0.0223676 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:48.799+0200: 2.024: [GC (Allocation Failure) 2020-09-29T18:14:48.799+0200: 2.025: [ParNew: 606903K->64610K(613440K), 0.0221685 secs] 607295K->65003K(2029056K), 0.0222278 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:48.868+0200: 2.094: [GC (Allocation Failure) 2020-09-29T18:14:48.868+0200: 2.094: [ParNew: 609954K->51923K(613440K), 0.0207515 secs] 610347K->52316K(2029056K), 0.0208068 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:48.936+0200: 2.162: [GC (Allocation Failure) 2020-09-29T18:14:48.936+0200: 2.162: [ParNew: 597267K->48156K(613440K), 0.0192081 secs] 597660K->48548K(2029056K), 0.0192818 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:49.002+0200: 2.228: [GC (Allocation Failure) 2020-09-29T18:14:49.002+0200: 2.228: [ParNew: 593500K->43606K(613440K), 0.0181511 secs] 593892K->43998K(2029056K), 0.0182288 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:49.069+0200: 2.295: [GC (Allocation Failure) 2020-09-29T18:14:49.069+0200: 2.295: [ParNew: 588950K->61488K(613440K), 0.0241632 secs] 589342K->61881K(2029056K), 0.0242317 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:14:49.143+0200: 2.368: [GC (Allocation Failure) 2020-09-29T18:14:49.143+0200: 2.369: [ParNew: 606832K->53563K(613440K), 0.0226233 secs] 607225K->53956K(2029056K), 0.0226816 secs] [Times: user=0.24 sys=0.02, real=0.02 secs] 
2020-09-29T18:14:49.215+0200: 2.440: [GC (Allocation Failure) 2020-09-29T18:14:49.215+0200: 2.440: [ParNew: 598907K->49403K(613440K), 0.0223180 secs] 599300K->49795K(2029056K), 0.0224231 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:49.283+0200: 2.509: [GC (Allocation Failure) 2020-09-29T18:14:49.283+0200: 2.509: [ParNew: 594747K->47529K(613440K), 0.0214994 secs] 595139K->47921K(2029056K), 0.0215650 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:49.352+0200: 2.578: [GC (Allocation Failure) 2020-09-29T18:14:49.352+0200: 2.578: [ParNew: 592873K->48202K(613440K), 0.0197851 secs] 593265K->48595K(2029056K), 0.0198369 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:49.424+0200: 2.650: [GC (Allocation Failure) 2020-09-29T18:14:49.425+0200: 2.650: [ParNew: 593546K->39837K(613440K), 0.0204432 secs] 593939K->40230K(2029056K), 0.0205149 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:49.494+0200: 2.719: [GC (Allocation Failure) 2020-09-29T18:14:49.494+0200: 2.719: [ParNew: 585181K->41321K(613440K), 0.0185204 secs] 585574K->41713K(2029056K), 0.0185776 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:49.566+0200: 2.792: [GC (Allocation Failure) 2020-09-29T18:14:49.567+0200: 2.792: [ParNew: 586665K->61965K(613440K), 0.0232094 secs] 587057K->62357K(2029056K), 0.0233014 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:49.639+0200: 2.865: [GC (Allocation Failure) 2020-09-29T18:14:49.639+0200: 2.865: [ParNew: 607309K->51638K(613440K), 0.0230579 secs] 607701K->52030K(2029056K), 0.0231652 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:49.710+0200: 2.935: [GC (Allocation Failure) 2020-09-29T18:14:49.710+0200: 2.935: [ParNew: 596982K->46563K(613440K), 0.0146222 secs] 597374K->46956K(2029056K), 0.0146924 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:14:49.772+0200: 2.998: [GC (Allocation Failure) 2020-09-29T18:14:49.772+0200: 2.998: [ParNew: 591907K->44171K(613440K), 0.0213381 secs] 592300K->44564K(2029056K), 0.0214097 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:49.842+0200: 3.067: [GC (Allocation Failure) 2020-09-29T18:14:49.842+0200: 3.067: [ParNew: 589515K->53297K(613440K), 0.0200139 secs] 589908K->53690K(2029056K), 0.0200772 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:49.909+0200: 3.134: [GC (Allocation Failure) 2020-09-29T18:14:49.909+0200: 3.134: [ParNew: 598641K->68096K(613440K), 0.0243317 secs] 599034K->68488K(2029056K), 0.0244072 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:49.980+0200: 3.206: [GC (Allocation Failure) 2020-09-29T18:14:49.981+0200: 3.206: [ParNew: 613440K->58917K(613440K), 0.0239901 secs] 613832K->59309K(2029056K), 0.0240626 secs] [Times: user=0.14 sys=0.00, real=0.03 secs] 
2020-09-29T18:14:50.051+0200: 3.277: [GC (Allocation Failure) 2020-09-29T18:14:50.052+0200: 3.277: [ParNew: 604261K->51753K(613440K), 0.0216590 secs] 604653K->52146K(2029056K), 0.0217281 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:50.123+0200: 3.348: [GC (Allocation Failure) 2020-09-29T18:14:50.123+0200: 3.348: [ParNew: 597097K->50048K(613440K), 0.0170918 secs] 597490K->50440K(2029056K), 0.0171642 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:50.188+0200: 3.413: [GC (Allocation Failure) 2020-09-29T18:14:50.188+0200: 3.413: [ParNew: 595392K->30998K(613440K), 0.0144100 secs] 595784K->31391K(2029056K), 0.0144656 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:14:50.255+0200: 3.480: [GC (Allocation Failure) 2020-09-29T18:14:50.255+0200: 3.480: [ParNew: 576342K->46444K(613440K), 0.0210883 secs] 576735K->46837K(2029056K), 0.0211650 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:50.326+0200: 3.552: [GC (Allocation Failure) 2020-09-29T18:14:50.326+0200: 3.552: [ParNew: 591788K->39828K(613440K), 0.0219479 secs] 592181K->40221K(2029056K), 0.0220492 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:50.399+0200: 3.625: [GC (Allocation Failure) 2020-09-29T18:14:50.400+0200: 3.625: [ParNew: 585172K->39106K(613440K), 0.0134257 secs] 585565K->39499K(2029056K), 0.0135135 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:14:50.464+0200: 3.689: [GC (Allocation Failure) 2020-09-29T18:14:50.464+0200: 3.689: [ParNew: 584450K->49032K(613440K), 0.0247508 secs] 584843K->49424K(2029056K), 0.0248074 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:50.536+0200: 3.761: [GC (Allocation Failure) 2020-09-29T18:14:50.536+0200: 3.761: [ParNew: 594376K->36065K(613440K), 0.0092092 secs] 594768K->36457K(2029056K), 0.0092632 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T18:14:50.603+0200: 3.828: [GC (Allocation Failure) 2020-09-29T18:14:50.603+0200: 3.828: [ParNew: 581409K->46278K(613440K), 0.0208635 secs] 581801K->46670K(2029056K), 0.0209167 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:50.672+0200: 3.898: [GC (Allocation Failure) 2020-09-29T18:14:50.672+0200: 3.898: [ParNew: 591622K->59114K(613440K), 0.0203237 secs] 592014K->59506K(2029056K), 0.0203855 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:50.742+0200: 3.967: [GC (Allocation Failure) 2020-09-29T18:14:50.742+0200: 3.967: [ParNew: 604458K->38292K(613440K), 0.0135347 secs] 604850K->38685K(2029056K), 0.0135937 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:14:50.809+0200: 4.034: [GC (Allocation Failure) 2020-09-29T18:14:50.809+0200: 4.034: [ParNew: 583636K->35768K(613440K), 0.0179382 secs] 584029K->36161K(2029056K), 0.0179948 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:50.881+0200: 4.106: [GC (Allocation Failure) 2020-09-29T18:14:50.881+0200: 4.106: [ParNew: 581112K->40428K(613440K), 0.0168043 secs] 581505K->40821K(2029056K), 0.0168720 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:50.952+0200: 4.177: [GC (Allocation Failure) 2020-09-29T18:14:50.952+0200: 4.177: [ParNew: 585772K->54020K(613440K), 0.0214705 secs] 586165K->54413K(2029056K), 0.0215452 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:51.020+0200: 4.246: [GC (Allocation Failure) 2020-09-29T18:14:51.020+0200: 4.246: [ParNew: 599364K->59348K(613440K), 0.0210064 secs] 599757K->59741K(2029056K), 0.0212073 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:51.093+0200: 4.319: [GC (Allocation Failure) 2020-09-29T18:14:51.093+0200: 4.319: [ParNew: 604692K->47175K(613440K), 0.0208752 secs] 605085K->47567K(2029056K), 0.0209490 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:51.165+0200: 4.390: [GC (Allocation Failure) 2020-09-29T18:14:51.165+0200: 4.390: [ParNew: 592519K->45353K(613440K), 0.0220878 secs] 592911K->45745K(2029056K), 0.0221465 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:51.237+0200: 4.462: [GC (Allocation Failure) 2020-09-29T18:14:51.237+0200: 4.463: [ParNew: 590697K->49324K(613440K), 0.0199724 secs] 591089K->49717K(2029056K), 0.0200778 secs] [Times: user=0.19 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:51.306+0200: 4.532: [GC (Allocation Failure) 2020-09-29T18:14:51.306+0200: 4.532: [ParNew: 594668K->42411K(613440K), 0.0177116 secs] 595061K->42803K(2029056K), 0.0177650 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:51.372+0200: 4.597: [GC (Allocation Failure) 2020-09-29T18:14:51.372+0200: 4.597: [ParNew: 587755K->29934K(613440K), 0.0103611 secs] 588147K->30326K(2029056K), 0.0104241 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:14:51.438+0200: 4.664: [GC (Allocation Failure) 2020-09-29T18:14:51.438+0200: 4.664: [ParNew: 575278K->47400K(613440K), 0.0220575 secs] 575670K->47793K(2029056K), 0.0221157 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:14:51.507+0200: 4.733: [GC (Allocation Failure) 2020-09-29T18:14:51.507+0200: 4.733: [ParNew: 592744K->36964K(613440K), 0.0137336 secs] 593137K->37356K(2029056K), 0.0138164 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
