Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9578180k free), swap 23213284k(9192140k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:20:47.700+0200: 0.293: [GC (Allocation Failure) 2020-09-29T18:20:47.700+0200: 0.293: [ParNew: 545344K->44392K(613440K), 0.0372220 secs] 545344K->44392K(2029056K), 0.0373795 secs] [Times: user=0.22 sys=0.03, real=0.04 secs] 
2020-09-29T18:20:47.788+0200: 0.381: [GC (Allocation Failure) 2020-09-29T18:20:47.788+0200: 0.381: [ParNew: 589736K->48694K(613440K), 0.0337956 secs] 589736K->49086K(2029056K), 0.0338645 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:20:47.870+0200: 0.463: [GC (Allocation Failure) 2020-09-29T18:20:47.870+0200: 0.463: [ParNew: 594038K->68096K(613440K), 0.0368916 secs] 594430K->69739K(2029056K), 0.0369581 secs] [Times: user=0.25 sys=0.00, real=0.04 secs] 
2020-09-29T18:20:47.958+0200: 0.551: [GC (Allocation Failure) 2020-09-29T18:20:47.958+0200: 0.551: [ParNew: 613440K->68096K(613440K), 0.0347531 secs] 615083K->69803K(2029056K), 0.0348428 secs] [Times: user=0.25 sys=0.00, real=0.04 secs] 
2020-09-29T18:20:48.043+0200: 0.636: [GC (Allocation Failure) 2020-09-29T18:20:48.043+0200: 0.636: [ParNew: 613440K->50306K(613440K), 0.0255124 secs] 615147K->52014K(2029056K), 0.0255919 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:20:48.119+0200: 0.711: [GC (Allocation Failure) 2020-09-29T18:20:48.119+0200: 0.711: [ParNew: 595650K->68096K(613440K), 0.0318757 secs] 597358K->70188K(2029056K), 0.0319440 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:20:48.200+0200: 0.793: [GC (Allocation Failure) 2020-09-29T18:20:48.200+0200: 0.793: [ParNew: 613440K->48698K(613440K), 0.0302026 secs] 615532K->50790K(2029056K), 0.0302742 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:20:48.287+0200: 0.879: [GC (Allocation Failure) 2020-09-29T18:20:48.287+0200: 0.879: [ParNew: 594042K->53104K(613440K), 0.0298457 secs] 596134K->55197K(2029056K), 0.0299215 secs] [Times: user=0.16 sys=0.00, real=0.03 secs] 
2020-09-29T18:20:48.365+0200: 0.957: [GC (Allocation Failure) 2020-09-29T18:20:48.365+0200: 0.958: [ParNew: 598448K->51980K(613440K), 0.0292856 secs] 600541K->54072K(2029056K), 0.0293755 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:20:48.442+0200: 1.035: [GC (Allocation Failure) 2020-09-29T18:20:48.442+0200: 1.035: [ParNew: 597324K->44820K(613440K), 0.0199976 secs] 599416K->46913K(2029056K), 0.0200701 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:20:48.519+0200: 1.112: [GC (Allocation Failure) 2020-09-29T18:20:48.519+0200: 1.112: [ParNew: 590164K->38177K(613440K), 0.0199347 secs] 592257K->40270K(2029056K), 0.0200037 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
