Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9534028k free), swap 23213284k(9182580k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:13:16.399+0200: 0.281: [GC (Allocation Failure) 2020-09-29T18:13:16.399+0200: 0.281: [ParNew: 545344K->44735K(613440K), 0.0336411 secs] 545344K->44735K(2029056K), 0.0337781 secs] [Times: user=0.22 sys=0.03, real=0.03 secs] 
2020-09-29T18:13:16.485+0200: 0.367: [GC (Allocation Failure) 2020-09-29T18:13:16.485+0200: 0.367: [ParNew: 590079K->40575K(613440K), 0.0238183 secs] 590079K->40967K(2029056K), 0.0238832 secs] [Times: user=0.20 sys=0.02, real=0.02 secs] 
2020-09-29T18:13:16.558+0200: 0.440: [GC (Allocation Failure) 2020-09-29T18:13:16.558+0200: 0.441: [ParNew: 585919K->34144K(613440K), 0.0171250 secs] 586311K->34536K(2029056K), 0.0172152 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:13:16.630+0200: 0.512: [GC (Allocation Failure) 2020-09-29T18:13:16.630+0200: 0.512: [ParNew: 579488K->50187K(613440K), 0.0232004 secs] 579880K->50579K(2029056K), 0.0232627 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:13:16.710+0200: 0.592: [GC (Allocation Failure) 2020-09-29T18:13:16.710+0200: 0.592: [ParNew: 595531K->63591K(613440K), 0.0272056 secs] 595923K->63983K(2029056K), 0.0275819 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:13:16.794+0200: 0.677: [GC (Allocation Failure) 2020-09-29T18:13:16.794+0200: 0.677: [ParNew: 608935K->60661K(613440K), 0.0278220 secs] 609327K->61054K(2029056K), 0.0279062 secs] [Times: user=0.23 sys=0.02, real=0.03 secs] 
2020-09-29T18:13:16.876+0200: 0.758: [GC (Allocation Failure) 2020-09-29T18:13:16.876+0200: 0.758: [ParNew: 606005K->51267K(613440K), 0.0269149 secs] 606398K->51660K(2029056K), 0.0269842 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2020-09-29T18:13:16.956+0200: 0.838: [GC (Allocation Failure) 2020-09-29T18:13:16.956+0200: 0.838: [ParNew: 596611K->54253K(613440K), 0.0247851 secs] 597004K->54646K(2029056K), 0.0248556 secs] [Times: user=0.20 sys=0.02, real=0.02 secs] 
2020-09-29T18:13:17.035+0200: 0.917: [GC (Allocation Failure) 2020-09-29T18:13:17.035+0200: 0.917: [ParNew: 599597K->44787K(613440K), 0.0237409 secs] 599990K->45179K(2029056K), 0.0238094 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:13:17.113+0200: 0.996: [GC (Allocation Failure) 2020-09-29T18:13:17.113+0200: 0.996: [ParNew: 590131K->42402K(613440K), 0.0230191 secs] 590523K->42794K(2029056K), 0.0230851 secs] [Times: user=0.22 sys=0.00, real=0.02 secs] 
2020-09-29T18:13:17.189+0200: 1.072: [GC (Allocation Failure) 2020-09-29T18:13:17.190+0200: 1.072: [ParNew: 587746K->56873K(613440K), 0.0306522 secs] 588138K->57266K(2029056K), 0.0307168 secs] [Times: user=0.22 sys=0.00, real=0.03 secs] 
