Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9565296k free), swap 23213284k(9159692k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:22:17.423+0200: 0.266: [GC (Allocation Failure) 2020-09-29T18:22:17.423+0200: 0.267: [ParNew: 545344K->39149K(613440K), 0.0695187 secs] 545344K->39149K(2029056K), 0.0698068 secs] [Times: user=0.42 sys=0.06, real=0.07 secs] 
2020-09-29T18:22:17.567+0200: 0.411: [GC (Allocation Failure) 2020-09-29T18:22:17.567+0200: 0.411: [ParNew: 584493K->35024K(613440K), 0.0458056 secs] 584493K->35417K(2029056K), 0.0459525 secs] [Times: user=0.25 sys=0.00, real=0.05 secs] 
2020-09-29T18:22:17.667+0200: 0.511: [GC (Allocation Failure) 2020-09-29T18:22:17.667+0200: 0.511: [ParNew: 580368K->37247K(613440K), 0.0179399 secs] 580761K->37640K(2029056K), 0.0180299 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:22:17.737+0200: 0.581: [GC (Allocation Failure) 2020-09-29T18:22:17.737+0200: 0.581: [ParNew: 582591K->54595K(613440K), 0.0256728 secs] 582984K->54987K(2029056K), 0.0257301 secs] [Times: user=0.23 sys=0.01, real=0.03 secs] 
2020-09-29T18:22:17.811+0200: 0.654: [GC (Allocation Failure) 2020-09-29T18:22:17.811+0200: 0.654: [ParNew: 599939K->46947K(613440K), 0.0202529 secs] 600331K->47339K(2029056K), 0.0203080 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:22:17.877+0200: 0.721: [GC (Allocation Failure) 2020-09-29T18:22:17.877+0200: 0.721: [ParNew: 592291K->50596K(613440K), 0.0193976 secs] 592683K->50988K(2029056K), 0.0194709 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:22:17.944+0200: 0.787: [GC (Allocation Failure) 2020-09-29T18:22:17.944+0200: 0.787: [ParNew: 595940K->68096K(613440K), 0.0241302 secs] 596332K->68908K(2029056K), 0.0242046 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:22:18.015+0200: 0.859: [GC (Allocation Failure) 2020-09-29T18:22:18.015+0200: 0.859: [ParNew: 613440K->56182K(613440K), 0.0173343 secs] 614252K->56995K(2029056K), 0.0173931 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:22:18.081+0200: 0.925: [GC (Allocation Failure) 2020-09-29T18:22:18.081+0200: 0.925: [ParNew: 601526K->48724K(613440K), 0.0174933 secs] 602339K->49536K(2029056K), 0.0175484 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:22:18.146+0200: 0.990: [GC (Allocation Failure) 2020-09-29T18:22:18.146+0200: 0.990: [ParNew: 594068K->36200K(613440K), 0.0158147 secs] 594880K->37013K(2029056K), 0.0158771 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:22:18.213+0200: 1.057: [GC (Allocation Failure) 2020-09-29T18:22:18.213+0200: 1.057: [ParNew: 581544K->54211K(613440K), 0.0212026 secs] 582357K->55024K(2029056K), 0.0212822 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
