Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9546108k free), swap 23213284k(9189696k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:07:14.049+0200: 0.323: [GC (Allocation Failure) 2020-09-29T18:07:14.049+0200: 0.323: [ParNew: 545344K->44411K(613440K), 0.0371869 secs] 545344K->44411K(2029056K), 0.0373557 secs] [Times: user=0.23 sys=0.02, real=0.04 secs] 
2020-09-29T18:07:14.133+0200: 0.408: [GC (Allocation Failure) 2020-09-29T18:07:14.133+0200: 0.408: [ParNew: 589755K->40241K(613440K), 0.0197395 secs] 589755K->40634K(2029056K), 0.0197979 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:14.203+0200: 0.477: [GC (Allocation Failure) 2020-09-29T18:07:14.203+0200: 0.477: [ParNew: 585585K->49703K(613440K), 0.0213176 secs] 585978K->50095K(2029056K), 0.0213978 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:14.273+0200: 0.547: [GC (Allocation Failure) 2020-09-29T18:07:14.273+0200: 0.548: [ParNew: 595047K->41074K(613440K), 0.0193973 secs] 595439K->41467K(2029056K), 0.0194722 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:14.341+0200: 0.615: [GC (Allocation Failure) 2020-09-29T18:07:14.341+0200: 0.615: [ParNew: 586418K->37532K(613440K), 0.0149357 secs] 586811K->37925K(2029056K), 0.0149913 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:07:14.408+0200: 0.682: [GC (Allocation Failure) 2020-09-29T18:07:14.408+0200: 0.682: [ParNew: 582876K->54390K(613440K), 0.0209177 secs] 583269K->54782K(2029056K), 0.0209801 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:14.478+0200: 0.753: [GC (Allocation Failure) 2020-09-29T18:07:14.478+0200: 0.753: [ParNew: 599734K->38789K(613440K), 0.0123152 secs] 600126K->39181K(2029056K), 0.0124218 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:07:14.543+0200: 0.818: [GC (Allocation Failure) 2020-09-29T18:07:14.543+0200: 0.818: [ParNew: 584133K->36127K(613440K), 0.0178322 secs] 584525K->36519K(2029056K), 0.0179158 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:14.614+0200: 0.889: [GC (Allocation Failure) 2020-09-29T18:07:14.614+0200: 0.889: [ParNew: 581471K->42769K(613440K), 0.0165077 secs] 581863K->43161K(2029056K), 0.0165847 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:14.687+0200: 0.961: [GC (Allocation Failure) 2020-09-29T18:07:14.687+0200: 0.961: [ParNew: 588113K->58527K(613440K), 0.0207713 secs] 588505K->58919K(2029056K), 0.0208409 secs] [Times: user=0.22 sys=0.03, real=0.02 secs] 
2020-09-29T18:07:14.760+0200: 1.034: [GC (Allocation Failure) 2020-09-29T18:07:14.760+0200: 1.034: [ParNew: 603871K->47545K(613440K), 0.0203184 secs] 604263K->47937K(2029056K), 0.0203963 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:14.828+0200: 1.102: [GC (Allocation Failure) 2020-09-29T18:07:14.828+0200: 1.102: [ParNew: 592889K->44493K(613440K), 0.0195618 secs] 593281K->44885K(2029056K), 0.0196228 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:14.895+0200: 1.170: [GC (Allocation Failure) 2020-09-29T18:07:14.895+0200: 1.170: [ParNew: 589837K->68096K(613440K), 0.0250895 secs] 590229K->69186K(2029056K), 0.0251468 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:07:14.967+0200: 1.242: [GC (Allocation Failure) 2020-09-29T18:07:14.967+0200: 1.242: [ParNew: 613440K->49139K(613440K), 0.0196253 secs] 614530K->50230K(2029056K), 0.0196910 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:15.033+0200: 1.308: [GC (Allocation Failure) 2020-09-29T18:07:15.033+0200: 1.308: [ParNew: 594483K->45030K(613440K), 0.0167193 secs] 595574K->46121K(2029056K), 0.0168119 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:15.101+0200: 1.376: [GC (Allocation Failure) 2020-09-29T18:07:15.101+0200: 1.376: [ParNew: 590374K->30336K(613440K), 0.0096541 secs] 591465K->31426K(2029056K), 0.0097134 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T18:07:15.163+0200: 1.438: [GC (Allocation Failure) 2020-09-29T18:07:15.163+0200: 1.438: [ParNew: 575680K->26819K(613440K), 0.0130295 secs] 576770K->27910K(2029056K), 0.0130953 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:07:15.231+0200: 1.506: [GC (Allocation Failure) 2020-09-29T18:07:15.231+0200: 1.506: [ParNew: 572163K->40127K(613440K), 0.0182843 secs] 573254K->41218K(2029056K), 0.0183426 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:15.303+0200: 1.578: [GC (Allocation Failure) 2020-09-29T18:07:15.303+0200: 1.578: [ParNew: 585471K->51222K(613440K), 0.0193439 secs] 586562K->52313K(2029056K), 0.0194028 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:15.372+0200: 1.647: [GC (Allocation Failure) 2020-09-29T18:07:15.372+0200: 1.647: [ParNew: 596566K->63556K(613440K), 0.0233564 secs] 597657K->64647K(2029056K), 0.0234389 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:15.447+0200: 1.722: [GC (Allocation Failure) 2020-09-29T18:07:15.447+0200: 1.722: [ParNew: 608900K->68096K(613440K), 0.0233344 secs] 609991K->69186K(2029056K), 0.0234183 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:07:15.518+0200: 1.793: [GC (Allocation Failure) 2020-09-29T18:07:15.518+0200: 1.793: [ParNew: 613440K->52376K(613440K), 0.0196611 secs] 614530K->53467K(2029056K), 0.0197164 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
