Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9555516k free), swap 23213284k(9185656k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:28:17.303+0200: 0.281: [GC (Allocation Failure) 2020-09-29T18:28:17.303+0200: 0.281: [ParNew: 545344K->37202K(613440K), 0.0268887 secs] 545344K->37202K(2029056K), 0.0270667 secs] [Times: user=0.11 sys=0.02, real=0.03 secs] 
2020-09-29T18:28:17.397+0200: 0.375: [GC (Allocation Failure) 2020-09-29T18:28:17.397+0200: 0.375: [ParNew: 582546K->27238K(613440K), 0.0148796 secs] 582546K->27631K(2029056K), 0.0149502 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T18:28:17.464+0200: 0.442: [GC (Allocation Failure) 2020-09-29T18:28:17.464+0200: 0.442: [ParNew: 572582K->30890K(613440K), 0.0155263 secs] 572975K->31282K(2029056K), 0.0155897 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:28:17.534+0200: 0.512: [GC (Allocation Failure) 2020-09-29T18:28:17.534+0200: 0.512: [ParNew: 576234K->35131K(613440K), 0.0170276 secs] 576626K->35523K(2029056K), 0.0171081 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:28:17.609+0200: 0.587: [GC (Allocation Failure) 2020-09-29T18:28:17.609+0200: 0.587: [ParNew: 580475K->37155K(613440K), 0.0176899 secs] 580867K->37547K(2029056K), 0.0177497 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:28:17.682+0200: 0.661: [GC (Allocation Failure) 2020-09-29T18:28:17.682+0200: 0.661: [ParNew: 582499K->37854K(613440K), 0.0176103 secs] 582891K->38247K(2029056K), 0.0176656 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:28:17.755+0200: 0.733: [GC (Allocation Failure) 2020-09-29T18:28:17.755+0200: 0.733: [ParNew: 583198K->55330K(613440K), 0.0216817 secs] 583591K->55722K(2029056K), 0.0217735 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:28:17.829+0200: 0.807: [GC (Allocation Failure) 2020-09-29T18:28:17.829+0200: 0.807: [ParNew: 600674K->43710K(613440K), 0.0153792 secs] 601066K->44102K(2029056K), 0.0154331 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:28:17.897+0200: 0.875: [GC (Allocation Failure) 2020-09-29T18:28:17.897+0200: 0.875: [ParNew: 589054K->41795K(613440K), 0.0198265 secs] 589446K->42188K(2029056K), 0.0198982 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:28:17.968+0200: 0.947: [GC (Allocation Failure) 2020-09-29T18:28:17.968+0200: 0.947: [ParNew: 587139K->62292K(613440K), 0.0301182 secs] 587532K->62685K(2029056K), 0.0302072 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2020-09-29T18:28:18.051+0200: 1.030: [GC (Allocation Failure) 2020-09-29T18:28:18.051+0200: 1.030: [ParNew: 607636K->52183K(613440K), 0.0186827 secs] 608029K->52575K(2029056K), 0.0187579 secs] [Times: user=0.20 sys=0.00, real=0.02 secs] 
2020-09-29T18:28:18.123+0200: 1.102: [GC (Allocation Failure) 2020-09-29T18:28:18.123+0200: 1.102: [ParNew: 597527K->43786K(613440K), 0.0170496 secs] 597919K->44179K(2029056K), 0.0171185 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:28:18.201+0200: 1.179: [GC (Allocation Failure) 2020-09-29T18:28:18.201+0200: 1.179: [ParNew: 589130K->37627K(613440K), 0.0174220 secs] 589523K->38019K(2029056K), 0.0174889 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:28:18.277+0200: 1.255: [GC (Allocation Failure) 2020-09-29T18:28:18.277+0200: 1.255: [ParNew: 582971K->59352K(613440K), 0.0275224 secs] 583363K->59745K(2029056K), 0.0276097 secs] [Times: user=0.22 sys=0.02, real=0.03 secs] 
2020-09-29T18:28:18.356+0200: 1.335: [GC (Allocation Failure) 2020-09-29T18:28:18.356+0200: 1.335: [ParNew: 604696K->48305K(613440K), 0.0247507 secs] 605089K->48698K(2029056K), 0.0248943 secs] [Times: user=0.22 sys=0.00, real=0.03 secs] 
2020-09-29T18:28:18.434+0200: 1.412: [GC (Allocation Failure) 2020-09-29T18:28:18.434+0200: 1.412: [ParNew: 593649K->48529K(613440K), 0.0237050 secs] 594042K->48921K(2029056K), 0.0237861 secs] [Times: user=0.17 sys=0.00, real=0.02 secs] 
