Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9554756k free), swap 23213284k(9186968k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:25:17.513+0200: 0.244: [GC (Allocation Failure) 2020-09-29T18:25:17.513+0200: 0.245: [ParNew: 545344K->16565K(613440K), 0.0409398 secs] 545344K->16565K(2029056K), 0.0411270 secs] [Times: user=0.22 sys=0.02, real=0.04 secs] 
2020-09-29T18:25:17.624+0200: 0.356: [GC (Allocation Failure) 2020-09-29T18:25:17.624+0200: 0.356: [ParNew: 561909K->45345K(613440K), 0.0272151 secs] 561909K->45345K(2029056K), 0.0272726 secs] [Times: user=0.20 sys=0.05, real=0.03 secs] 
2020-09-29T18:25:17.698+0200: 0.430: [GC (Allocation Failure) 2020-09-29T18:25:17.698+0200: 0.430: [ParNew: 590689K->58991K(613440K), 0.0247859 secs] 590689K->59383K(2029056K), 0.0248519 secs] [Times: user=0.13 sys=0.02, real=0.03 secs] 
2020-09-29T18:25:17.770+0200: 0.502: [GC (Allocation Failure) 2020-09-29T18:25:17.770+0200: 0.502: [ParNew: 604335K->46546K(613440K), 0.0179697 secs] 604727K->46939K(2029056K), 0.0180267 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:17.839+0200: 0.571: [GC (Allocation Failure) 2020-09-29T18:25:17.839+0200: 0.571: [ParNew: 591890K->45113K(613440K), 0.0178997 secs] 592283K->45505K(2029056K), 0.0179551 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:17.903+0200: 0.636: [GC (Allocation Failure) 2020-09-29T18:25:17.903+0200: 0.636: [ParNew: 590457K->67742K(613440K), 0.0227244 secs] 590849K->68134K(2029056K), 0.0228059 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:17.975+0200: 0.707: [GC (Allocation Failure) 2020-09-29T18:25:17.975+0200: 0.707: [ParNew: 613086K->43079K(613440K), 0.0105487 secs] 613478K->43471K(2029056K), 0.0106208 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T18:25:18.039+0200: 0.771: [GC (Allocation Failure) 2020-09-29T18:25:18.039+0200: 0.771: [ParNew: 588423K->32004K(613440K), 0.0166932 secs] 588815K->32397K(2029056K), 0.0167565 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:18.104+0200: 0.836: [GC (Allocation Failure) 2020-09-29T18:25:18.104+0200: 0.836: [ParNew: 577348K->27236K(613440K), 0.0139124 secs] 577741K->27629K(2029056K), 0.0139675 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:25:18.166+0200: 0.898: [GC (Allocation Failure) 2020-09-29T18:25:18.166+0200: 0.898: [ParNew: 572580K->49244K(613440K), 0.0188560 secs] 572973K->49637K(2029056K), 0.0189150 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:18.232+0200: 0.964: [GC (Allocation Failure) 2020-09-29T18:25:18.232+0200: 0.964: [ParNew: 594588K->33085K(613440K), 0.0107732 secs] 594981K->33478K(2029056K), 0.0108258 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:25:18.293+0200: 1.025: [GC (Allocation Failure) 2020-09-29T18:25:18.293+0200: 1.025: [ParNew: 578429K->34077K(613440K), 0.0166797 secs] 578822K->34469K(2029056K), 0.0167361 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:18.356+0200: 1.088: [GC (Allocation Failure) 2020-09-29T18:25:18.356+0200: 1.088: [ParNew: 579421K->42690K(613440K), 0.0149896 secs] 579813K->43083K(2029056K), 0.0150465 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:18.422+0200: 1.154: [GC (Allocation Failure) 2020-09-29T18:25:18.422+0200: 1.154: [ParNew: 588034K->55355K(613440K), 0.0204741 secs] 588427K->55748K(2029056K), 0.0205382 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:18.491+0200: 1.223: [GC (Allocation Failure) 2020-09-29T18:25:18.491+0200: 1.223: [ParNew: 600699K->44553K(613440K), 0.0192506 secs] 601092K->44945K(2029056K), 0.0193509 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:18.559+0200: 1.291: [GC (Allocation Failure) 2020-09-29T18:25:18.559+0200: 1.291: [ParNew: 589897K->44187K(613440K), 0.0199416 secs] 590289K->44579K(2029056K), 0.0199982 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:18.628+0200: 1.360: [GC (Allocation Failure) 2020-09-29T18:25:18.628+0200: 1.360: [ParNew: 589531K->35004K(613440K), 0.0119635 secs] 589923K->35397K(2029056K), 0.0120239 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:25:18.688+0200: 1.420: [GC (Allocation Failure) 2020-09-29T18:25:18.688+0200: 1.420: [ParNew: 580348K->37961K(613440K), 0.0167136 secs] 580741K->38354K(2029056K), 0.0167690 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:18.752+0200: 1.484: [GC (Allocation Failure) 2020-09-29T18:25:18.752+0200: 1.484: [ParNew: 583305K->47602K(613440K), 0.0165131 secs] 583698K->47994K(2029056K), 0.0166035 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:18.817+0200: 1.549: [GC (Allocation Failure) 2020-09-29T18:25:18.817+0200: 1.549: [ParNew: 592946K->59106K(613440K), 0.0210359 secs] 593338K->59498K(2029056K), 0.0210916 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:18.892+0200: 1.625: [GC (Allocation Failure) 2020-09-29T18:25:18.892+0200: 1.625: [ParNew: 604450K->40570K(613440K), 0.0145376 secs] 604842K->40963K(2029056K), 0.0146077 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:25:18.954+0200: 1.686: [GC (Allocation Failure) 2020-09-29T18:25:18.954+0200: 1.686: [ParNew: 585914K->57329K(613440K), 0.0231174 secs] 586307K->57721K(2029056K), 0.0232088 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
