Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9509300k free), swap 23213284k(9280100k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:31:19.254+0200: 0.279: [GC (Allocation Failure) 2020-09-29T18:31:19.254+0200: 0.279: [ParNew: 545344K->39977K(613440K), 0.0348668 secs] 545344K->39977K(2029056K), 0.0349941 secs] [Times: user=0.22 sys=0.03, real=0.04 secs] 
2020-09-29T18:31:19.350+0200: 0.374: [GC (Allocation Failure) 2020-09-29T18:31:19.350+0200: 0.375: [ParNew: 585321K->31948K(613440K), 0.0429921 secs] 585321K->32341K(2029056K), 0.0431043 secs] [Times: user=0.22 sys=0.03, real=0.04 secs] 
2020-09-29T18:31:19.448+0200: 0.473: [GC (Allocation Failure) 2020-09-29T18:31:19.448+0200: 0.473: [ParNew: 577292K->34241K(613440K), 0.0171147 secs] 577685K->34634K(2029056K), 0.0171764 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:19.513+0200: 0.537: [GC (Allocation Failure) 2020-09-29T18:31:19.513+0200: 0.538: [ParNew: 579585K->56570K(613440K), 0.0219202 secs] 579978K->56962K(2029056K), 0.0219830 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:19.585+0200: 0.610: [GC (Allocation Failure) 2020-09-29T18:31:19.585+0200: 0.610: [ParNew: 601914K->47684K(613440K), 0.0197452 secs] 602306K->48077K(2029056K), 0.0198268 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:19.658+0200: 0.683: [GC (Allocation Failure) 2020-09-29T18:31:19.658+0200: 0.683: [ParNew: 593028K->46438K(613440K), 0.0206688 secs] 593421K->46830K(2029056K), 0.0207495 secs] [Times: user=0.20 sys=0.01, real=0.02 secs] 
2020-09-29T18:31:19.727+0200: 0.752: [GC (Allocation Failure) 2020-09-29T18:31:19.727+0200: 0.752: [ParNew: 591782K->33887K(613440K), 0.0125790 secs] 592174K->34280K(2029056K), 0.0126409 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:19.788+0200: 0.814: [GC (Allocation Failure) 2020-09-29T18:31:19.788+0200: 0.814: [ParNew: 579231K->50682K(613440K), 0.0161438 secs] 579624K->51075K(2029056K), 0.0162029 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:19.852+0200: 0.877: [GC (Allocation Failure) 2020-09-29T18:31:19.852+0200: 0.877: [ParNew: 596026K->51425K(613440K), 0.0221518 secs] 596419K->51817K(2029056K), 0.0222391 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:19.923+0200: 0.948: [GC (Allocation Failure) 2020-09-29T18:31:19.923+0200: 0.949: [ParNew: 596769K->30760K(613440K), 0.0080136 secs] 597161K->31152K(2029056K), 0.0080726 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:19.990+0200: 1.015: [GC (Allocation Failure) 2020-09-29T18:31:19.990+0200: 1.015: [ParNew: 576104K->38216K(613440K), 0.0178784 secs] 576496K->38608K(2029056K), 0.0179375 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:20.057+0200: 1.083: [GC (Allocation Failure) 2020-09-29T18:31:20.057+0200: 1.083: [ParNew: 583560K->53205K(613440K), 0.0176421 secs] 583952K->53598K(2029056K), 0.0177018 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:20.124+0200: 1.149: [GC (Allocation Failure) 2020-09-29T18:31:20.124+0200: 1.149: [ParNew: 598549K->39147K(613440K), 0.0173569 secs] 598942K->39539K(2029056K), 0.0174164 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:20.188+0200: 1.213: [GC (Allocation Failure) 2020-09-29T18:31:20.188+0200: 1.213: [ParNew: 584491K->30634K(613440K), 0.0162312 secs] 584883K->31027K(2029056K), 0.0163023 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:20.252+0200: 1.277: [GC (Allocation Failure) 2020-09-29T18:31:20.252+0200: 1.277: [ParNew: 575978K->55983K(613440K), 0.0197205 secs] 576371K->56376K(2029056K), 0.0198180 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:20.321+0200: 1.346: [GC (Allocation Failure) 2020-09-29T18:31:20.321+0200: 1.346: [ParNew: 601327K->41943K(613440K), 0.0197534 secs] 601720K->42335K(2029056K), 0.0198209 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:20.388+0200: 1.413: [GC (Allocation Failure) 2020-09-29T18:31:20.388+0200: 1.413: [ParNew: 587287K->61621K(613440K), 0.0204323 secs] 587679K->62014K(2029056K), 0.0204914 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:20.458+0200: 1.483: [GC (Allocation Failure) 2020-09-29T18:31:20.458+0200: 1.483: [ParNew: 606965K->47113K(613440K), 0.0182084 secs] 607358K->47506K(2029056K), 0.0182871 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:20.524+0200: 1.549: [GC (Allocation Failure) 2020-09-29T18:31:20.524+0200: 1.549: [ParNew: 592457K->32866K(613440K), 0.0115855 secs] 592850K->33259K(2029056K), 0.0116457 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:20.591+0200: 1.617: [GC (Allocation Failure) 2020-09-29T18:31:20.591+0200: 1.617: [ParNew: 578210K->40543K(613440K), 0.0175514 secs] 578603K->40935K(2029056K), 0.0176214 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:20.659+0200: 1.684: [GC (Allocation Failure) 2020-09-29T18:31:20.659+0200: 1.684: [ParNew: 585887K->37571K(613440K), 0.0155063 secs] 586279K->37963K(2029056K), 0.0155690 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:20.724+0200: 1.750: [GC (Allocation Failure) 2020-09-29T18:31:20.724+0200: 1.750: [ParNew: 582915K->32729K(613440K), 0.0152357 secs] 583307K->33121K(2029056K), 0.0153136 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:20.796+0200: 1.821: [GC (Allocation Failure) 2020-09-29T18:31:20.796+0200: 1.821: [ParNew: 578073K->55957K(613440K), 0.0198583 secs] 578465K->56349K(2029056K), 0.0199168 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:20.866+0200: 1.890: [GC (Allocation Failure) 2020-09-29T18:31:20.866+0200: 1.890: [ParNew: 601301K->40221K(613440K), 0.0135362 secs] 601693K->40613K(2029056K), 0.0135915 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:20.930+0200: 1.955: [GC (Allocation Failure) 2020-09-29T18:31:20.930+0200: 1.955: [ParNew: 585565K->32452K(613440K), 0.0133410 secs] 585957K->32844K(2029056K), 0.0134334 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:20.992+0200: 2.016: [GC (Allocation Failure) 2020-09-29T18:31:20.992+0200: 2.016: [ParNew: 577796K->40395K(613440K), 0.0171200 secs] 578188K->40787K(2029056K), 0.0172011 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.063+0200: 2.088: [GC (Allocation Failure) 2020-09-29T18:31:21.063+0200: 2.088: [ParNew: 585739K->57544K(613440K), 0.0219863 secs] 586131K->57936K(2029056K), 0.0220574 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.135+0200: 2.159: [GC (Allocation Failure) 2020-09-29T18:31:21.135+0200: 2.159: [ParNew: 602888K->47374K(613440K), 0.0177529 secs] 603280K->47766K(2029056K), 0.0178150 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.203+0200: 2.227: [GC (Allocation Failure) 2020-09-29T18:31:21.203+0200: 2.227: [ParNew: 592718K->65579K(613440K), 0.0209524 secs] 593110K->65971K(2029056K), 0.0210078 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.270+0200: 2.294: [GC (Allocation Failure) 2020-09-29T18:31:21.270+0200: 2.295: [ParNew: 610923K->47039K(613440K), 0.0147344 secs] 611315K->47431K(2029056K), 0.0147915 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.333+0200: 2.358: [GC (Allocation Failure) 2020-09-29T18:31:21.333+0200: 2.358: [ParNew: 592383K->27384K(613440K), 0.0138656 secs] 592775K->27776K(2029056K), 0.0139359 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:21.395+0200: 2.419: [GC (Allocation Failure) 2020-09-29T18:31:21.395+0200: 2.419: [ParNew: 572728K->45832K(613440K), 0.0176700 secs] 573120K->46225K(2029056K), 0.0178168 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.462+0200: 2.487: [GC (Allocation Failure) 2020-09-29T18:31:21.462+0200: 2.487: [ParNew: 591176K->35205K(613440K), 0.0168112 secs] 591569K->35597K(2029056K), 0.0168885 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.527+0200: 2.551: [GC (Allocation Failure) 2020-09-29T18:31:21.527+0200: 2.551: [ParNew: 580549K->32132K(613440K), 0.0146155 secs] 580941K->32524K(2029056K), 0.0146801 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.593+0200: 2.617: [GC (Allocation Failure) 2020-09-29T18:31:21.593+0200: 2.617: [ParNew: 577476K->49062K(613440K), 0.0206603 secs] 577868K->49454K(2029056K), 0.0207229 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.664+0200: 2.688: [GC (Allocation Failure) 2020-09-29T18:31:21.664+0200: 2.688: [ParNew: 594406K->37622K(613440K), 0.0182607 secs] 594798K->38014K(2029056K), 0.0183214 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.732+0200: 2.756: [GC (Allocation Failure) 2020-09-29T18:31:21.732+0200: 2.756: [ParNew: 582966K->63189K(613440K), 0.0225416 secs] 583358K->63581K(2029056K), 0.0226229 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.803+0200: 2.827: [GC (Allocation Failure) 2020-09-29T18:31:21.803+0200: 2.827: [ParNew: 608533K->49665K(613440K), 0.0160797 secs] 608925K->50058K(2029056K), 0.0161409 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.870+0200: 2.894: [GC (Allocation Failure) 2020-09-29T18:31:21.870+0200: 2.894: [ParNew: 595009K->65687K(613440K), 0.0218558 secs] 595402K->66079K(2029056K), 0.0219167 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:21.939+0200: 2.963: [GC (Allocation Failure) 2020-09-29T18:31:21.939+0200: 2.963: [ParNew: 611031K->44569K(613440K), 0.0152741 secs] 611423K->44962K(2029056K), 0.0153300 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:22.004+0200: 3.029: [GC (Allocation Failure) 2020-09-29T18:31:22.004+0200: 3.029: [ParNew: 589913K->42598K(613440K), 0.0146312 secs] 590306K->42990K(2029056K), 0.0147101 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:22.069+0200: 3.093: [GC (Allocation Failure) 2020-09-29T18:31:22.069+0200: 3.093: [ParNew: 587942K->57666K(613440K), 0.0254789 secs] 588334K->58058K(2029056K), 0.0255364 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:22.142+0200: 3.166: [GC (Allocation Failure) 2020-09-29T18:31:22.142+0200: 3.166: [ParNew: 603010K->48462K(613440K), 0.0219315 secs] 603402K->48855K(2029056K), 0.0220061 secs] [Times: user=0.24 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:22.212+0200: 3.237: [GC (Allocation Failure) 2020-09-29T18:31:22.218+0200: 3.242: [ParNew: 593806K->68096K(613440K), 0.0232583 secs] 594199K->68488K(2029056K), 0.0285098 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:22.288+0200: 3.312: [GC (Allocation Failure) 2020-09-29T18:31:22.288+0200: 3.312: [ParNew: 613440K->54860K(613440K), 0.0234638 secs] 613832K->55252K(2029056K), 0.0235364 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:22.358+0200: 3.382: [GC (Allocation Failure) 2020-09-29T18:31:22.358+0200: 3.382: [ParNew: 600204K->49412K(613440K), 0.0173764 secs] 600596K->49804K(2029056K), 0.0174447 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:22.426+0200: 3.450: [GC (Allocation Failure) 2020-09-29T18:31:22.426+0200: 3.450: [ParNew: 594756K->66273K(613440K), 0.0260904 secs] 595148K->66665K(2029056K), 0.0261586 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2020-09-29T18:31:22.504+0200: 3.529: [GC (Allocation Failure) 2020-09-29T18:31:22.504+0200: 3.529: [ParNew: 611617K->42670K(613440K), 0.0164167 secs] 612009K->43063K(2029056K), 0.0164864 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:22.573+0200: 3.597: [GC (Allocation Failure) 2020-09-29T18:31:22.573+0200: 3.597: [ParNew: 588014K->29915K(613440K), 0.0162116 secs] 588407K->30307K(2029056K), 0.0162724 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:22.639+0200: 3.663: [GC (Allocation Failure) 2020-09-29T18:31:22.639+0200: 3.663: [ParNew: 575259K->53943K(613440K), 0.0211910 secs] 575651K->54336K(2029056K), 0.0212738 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:22.709+0200: 3.733: [GC (Allocation Failure) 2020-09-29T18:31:22.709+0200: 3.733: [ParNew: 599287K->38509K(613440K), 0.0124375 secs] 599680K->38901K(2029056K), 0.0125093 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:22.775+0200: 3.800: [GC (Allocation Failure) 2020-09-29T18:31:22.775+0200: 3.800: [ParNew: 583853K->35009K(613440K), 0.0175057 secs] 584245K->35402K(2029056K), 0.0175634 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:22.842+0200: 3.867: [GC (Allocation Failure) 2020-09-29T18:31:22.842+0200: 3.867: [ParNew: 580353K->55027K(613440K), 0.0213518 secs] 580746K->55419K(2029056K), 0.0214155 secs] [Times: user=0.14 sys=0.03, real=0.02 secs] 
2020-09-29T18:31:22.915+0200: 3.939: [GC (Allocation Failure) 2020-09-29T18:31:22.915+0200: 3.939: [ParNew: 600371K->56072K(613440K), 0.0207998 secs] 600763K->56464K(2029056K), 0.0208628 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:22.984+0200: 4.008: [GC (Allocation Failure) 2020-09-29T18:31:22.984+0200: 4.008: [ParNew: 601416K->44251K(613440K), 0.0145511 secs] 601808K->44643K(2029056K), 0.0146042 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:23.048+0200: 4.073: [GC (Allocation Failure) 2020-09-29T18:31:23.048+0200: 4.073: [ParNew: 589595K->37045K(613440K), 0.0138086 secs] 589987K->37438K(2029056K), 0.0138632 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:23.112+0200: 4.136: [GC (Allocation Failure) 2020-09-29T18:31:23.112+0200: 4.136: [ParNew: 582389K->28625K(613440K), 0.0120710 secs] 582782K->29018K(2029056K), 0.0121286 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:23.174+0200: 4.198: [GC (Allocation Failure) 2020-09-29T18:31:23.174+0200: 4.198: [ParNew: 573969K->44994K(613440K), 0.0185224 secs] 574362K->45386K(2029056K), 0.0185809 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:23.243+0200: 4.268: [GC (Allocation Failure) 2020-09-29T18:31:23.243+0200: 4.268: [ParNew: 590338K->64921K(613440K), 0.0240448 secs] 590730K->65314K(2029056K), 0.0241208 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:23.317+0200: 4.341: [GC (Allocation Failure) 2020-09-29T18:31:23.317+0200: 4.341: [ParNew: 610265K->48119K(613440K), 0.0166743 secs] 610658K->48511K(2029056K), 0.0167393 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:23.387+0200: 4.411: [GC (Allocation Failure) 2020-09-29T18:31:23.387+0200: 4.411: [ParNew: 593463K->39722K(613440K), 0.0169174 secs] 593855K->40114K(2029056K), 0.0169844 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:23.455+0200: 4.479: [GC (Allocation Failure) 2020-09-29T18:31:23.455+0200: 4.479: [ParNew: 585066K->35824K(613440K), 0.0159436 secs] 585458K->36217K(2029056K), 0.0160021 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:23.523+0200: 4.547: [GC (Allocation Failure) 2020-09-29T18:31:23.523+0200: 4.547: [ParNew: 581168K->54155K(613440K), 0.0195115 secs] 581561K->54548K(2029056K), 0.0195914 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:23.591+0200: 4.615: [GC (Allocation Failure) 2020-09-29T18:31:23.591+0200: 4.615: [ParNew: 599499K->34278K(613440K), 0.0136647 secs] 599892K->34670K(2029056K), 0.0137339 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:23.657+0200: 4.681: [GC (Allocation Failure) 2020-09-29T18:31:23.657+0200: 4.681: [ParNew: 579622K->35979K(613440K), 0.0162488 secs] 580014K->36372K(2029056K), 0.0163080 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:23.726+0200: 4.750: [GC (Allocation Failure) 2020-09-29T18:31:23.726+0200: 4.750: [ParNew: 581323K->54104K(613440K), 0.0200594 secs] 581716K->54497K(2029056K), 0.0201200 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:23.793+0200: 4.817: [GC (Allocation Failure) 2020-09-29T18:31:23.793+0200: 4.817: [ParNew: 599448K->39701K(613440K), 0.0140356 secs] 599841K->40094K(2029056K), 0.0141100 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:31:23.861+0200: 4.885: [GC (Allocation Failure) 2020-09-29T18:31:23.861+0200: 4.885: [ParNew: 585045K->54842K(613440K), 0.0195137 secs] 585438K->55234K(2029056K), 0.0195748 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:31:23.929+0200: 4.953: [GC (Allocation Failure) 2020-09-29T18:31:23.929+0200: 4.953: [ParNew: 600186K->68096K(613440K), 0.0288993 secs] 600578K->68488K(2029056K), 0.0289597 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
