Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9537556k free), swap 23213284k(9190832k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:05:44.449+0200: 0.253: [GC (Allocation Failure) 2020-09-29T18:05:44.449+0200: 0.253: [ParNew: 545344K->59278K(613440K), 0.0440158 secs] 545344K->59278K(2029056K), 0.0441653 secs] [Times: user=0.36 sys=0.02, real=0.05 secs] 
2020-09-29T18:05:44.541+0200: 0.344: [GC (Allocation Failure) 2020-09-29T18:05:44.541+0200: 0.344: [ParNew: 604622K->55083K(613440K), 0.0197271 secs] 604622K->55475K(2029056K), 0.0197965 secs] [Times: user=0.09 sys=0.03, real=0.02 secs] 
2020-09-29T18:05:44.612+0200: 0.415: [GC (Allocation Failure) 2020-09-29T18:05:44.612+0200: 0.415: [ParNew: 600427K->65945K(613440K), 0.0258326 secs] 600819K->66338K(2029056K), 0.0258868 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2020-09-29T18:05:44.685+0200: 0.489: [GC (Allocation Failure) 2020-09-29T18:05:44.685+0200: 0.489: [ParNew: 611289K->42419K(613440K), 0.0140540 secs] 611682K->42811K(2029056K), 0.0141124 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:05:44.747+0200: 0.551: [GC (Allocation Failure) 2020-09-29T18:05:44.747+0200: 0.551: [ParNew: 587763K->43724K(613440K), 0.0166832 secs] 588155K->44116K(2029056K), 0.0167395 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:05:44.816+0200: 0.619: [GC (Allocation Failure) 2020-09-29T18:05:44.816+0200: 0.619: [ParNew: 589068K->49157K(613440K), 0.0169608 secs] 589460K->49549K(2029056K), 0.0170166 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:05:44.882+0200: 0.685: [GC (Allocation Failure) 2020-09-29T18:05:44.882+0200: 0.685: [ParNew: 594501K->37859K(613440K), 0.0156049 secs] 594893K->38251K(2029056K), 0.0156607 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:05:44.949+0200: 0.752: [GC (Allocation Failure) 2020-09-29T18:05:44.949+0200: 0.752: [ParNew: 583203K->60587K(613440K), 0.0214963 secs] 583595K->60980K(2029056K), 0.0215662 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:05:45.019+0200: 0.823: [GC (Allocation Failure) 2020-09-29T18:05:45.019+0200: 0.823: [ParNew: 605931K->44340K(613440K), 0.0149964 secs] 606324K->44732K(2029056K), 0.0150512 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:05:45.092+0200: 0.895: [GC (Allocation Failure) 2020-09-29T18:05:45.092+0200: 0.895: [ParNew: 589684K->43855K(613440K), 0.0191721 secs] 590076K->44248K(2029056K), 0.0192355 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:05:45.162+0200: 0.965: [GC (Allocation Failure) 2020-09-29T18:05:45.162+0200: 0.965: [ParNew: 589199K->54126K(613440K), 0.0191007 secs] 589592K->54518K(2029056K), 0.0192146 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
