Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9506888k free), swap 23213284k(9153784k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:04:13.857+0200: 0.246: [GC (Allocation Failure) 2020-09-29T18:04:13.857+0200: 0.246: [ParNew: 545344K->36374K(613440K), 0.0367812 secs] 545344K->36374K(2029056K), 0.0369695 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
2020-09-29T18:04:13.951+0200: 0.340: [GC (Allocation Failure) 2020-09-29T18:04:13.951+0200: 0.340: [ParNew: 581718K->37756K(613440K), 0.0266129 secs] 581718K->38149K(2029056K), 0.0266894 secs] [Times: user=0.24 sys=0.01, real=0.03 secs] 
2020-09-29T18:04:14.031+0200: 0.420: [GC (Allocation Failure) 2020-09-29T18:04:14.031+0200: 0.420: [ParNew: 583100K->62993K(613440K), 0.0278238 secs] 583493K->63385K(2029056K), 0.0279098 secs] [Times: user=0.24 sys=0.02, real=0.03 secs] 
2020-09-29T18:04:14.114+0200: 0.503: [GC (Allocation Failure) 2020-09-29T18:04:14.114+0200: 0.503: [ParNew: 608337K->47455K(613440K), 0.0198613 secs] 608729K->47847K(2029056K), 0.0199264 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:14.184+0200: 0.574: [GC (Allocation Failure) 2020-09-29T18:04:14.184+0200: 0.574: [ParNew: 592799K->42019K(613440K), 0.0267922 secs] 593191K->42411K(2029056K), 0.0268725 secs] [Times: user=0.20 sys=0.02, real=0.03 secs] 
2020-09-29T18:04:14.263+0200: 0.653: [GC (Allocation Failure) 2020-09-29T18:04:14.263+0200: 0.653: [ParNew: 587363K->41238K(613440K), 0.0228093 secs] 587755K->41630K(2029056K), 0.0228731 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:14.338+0200: 0.728: [GC (Allocation Failure) 2020-09-29T18:04:14.338+0200: 0.728: [ParNew: 586582K->67216K(613440K), 0.0297541 secs] 586974K->67608K(2029056K), 0.0298402 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:04:14.417+0200: 0.807: [GC (Allocation Failure) 2020-09-29T18:04:14.417+0200: 0.807: [ParNew: 612560K->52939K(613440K), 0.0218952 secs] 612952K->53331K(2029056K), 0.0219927 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:14.486+0200: 0.876: [GC (Allocation Failure) 2020-09-29T18:04:14.486+0200: 0.876: [ParNew: 598283K->46927K(613440K), 0.0203930 secs] 598675K->47319K(2029056K), 0.0204580 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:14.561+0200: 0.950: [GC (Allocation Failure) 2020-09-29T18:04:14.561+0200: 0.950: [ParNew: 592271K->43328K(613440K), 0.0223201 secs] 592663K->43721K(2029056K), 0.0223917 secs] [Times: user=0.22 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:14.636+0200: 1.025: [GC (Allocation Failure) 2020-09-29T18:04:14.636+0200: 1.025: [ParNew: 588672K->54740K(613440K), 0.0253231 secs] 589065K->55132K(2029056K), 0.0254063 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:04:14.712+0200: 1.102: [GC (Allocation Failure) 2020-09-29T18:04:14.712+0200: 1.102: [ParNew: 600084K->40366K(613440K), 0.0251666 secs] 600476K->40758K(2029056K), 0.0252477 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:04:14.787+0200: 1.177: [GC (Allocation Failure) 2020-09-29T18:04:14.787+0200: 1.177: [ParNew: 585710K->68096K(613440K), 0.0310480 secs] 586102K->68860K(2029056K), 0.0311157 secs] [Times: user=0.23 sys=0.02, real=0.03 secs] 
2020-09-29T18:04:14.867+0200: 1.257: [GC (Allocation Failure) 2020-09-29T18:04:14.868+0200: 1.257: [ParNew: 613440K->68096K(613440K), 0.0295905 secs] 614204K->68860K(2029056K), 0.0296802 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:04:14.949+0200: 1.339: [GC (Allocation Failure) 2020-09-29T18:04:14.949+0200: 1.339: [ParNew: 613440K->51098K(613440K), 0.0233967 secs] 614204K->51863K(2029056K), 0.0235227 secs] [Times: user=0.13 sys=0.02, real=0.02 secs] 
2020-09-29T18:04:15.024+0200: 1.413: [GC (Allocation Failure) 2020-09-29T18:04:15.024+0200: 1.413: [ParNew: 596442K->68096K(613440K), 0.0282110 secs] 597207K->68860K(2029056K), 0.0282842 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:04:15.103+0200: 1.492: [GC (Allocation Failure) 2020-09-29T18:04:15.103+0200: 1.492: [ParNew: 613440K->68096K(613440K), 0.0365960 secs] 614204K->71152K(2029056K), 0.0366649 secs] [Times: user=0.23 sys=0.02, real=0.04 secs] 
2020-09-29T18:04:15.189+0200: 1.577: [GC (Allocation Failure) 2020-09-29T18:04:15.189+0200: 1.577: [ParNew: 613440K->68096K(613440K), 0.0378163 secs] 616496K->73172K(2029056K), 0.0378794 secs] [Times: user=0.33 sys=0.00, real=0.04 secs] 
2020-09-29T18:04:15.275+0200: 1.663: [GC (Allocation Failure) 2020-09-29T18:04:15.275+0200: 1.663: [ParNew: 613440K->52349K(613440K), 0.0178079 secs] 618516K->57425K(2029056K), 0.0178716 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:15.346+0200: 1.735: [GC (Allocation Failure) 2020-09-29T18:04:15.346+0200: 1.735: [ParNew: 597693K->29376K(613440K), 0.0159146 secs] 602769K->34452K(2029056K), 0.0159793 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:15.409+0200: 1.798: [GC (Allocation Failure) 2020-09-29T18:04:15.409+0200: 1.798: [ParNew: 574720K->44513K(613440K), 0.0221499 secs] 579796K->49589K(2029056K), 0.0222155 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:15.485+0200: 1.874: [GC (Allocation Failure) 2020-09-29T18:04:15.485+0200: 1.874: [ParNew: 589857K->33035K(613440K), 0.0212504 secs] 594933K->38112K(2029056K), 0.0213309 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:15.560+0200: 1.949: [GC (Allocation Failure) 2020-09-29T18:04:15.560+0200: 1.949: [ParNew: 578379K->59132K(613440K), 0.0260664 secs] 583456K->64209K(2029056K), 0.0261632 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:04:15.635+0200: 2.024: [GC (Allocation Failure) 2020-09-29T18:04:15.636+0200: 2.024: [ParNew: 604476K->59530K(613440K), 0.0278200 secs] 609553K->64607K(2029056K), 0.0279096 secs] [Times: user=0.22 sys=0.00, real=0.03 secs] 
2020-09-29T18:04:15.711+0200: 2.100: [GC (Allocation Failure) 2020-09-29T18:04:15.711+0200: 2.100: [ParNew: 604874K->37232K(613440K), 0.0164801 secs] 609951K->42309K(2029056K), 0.0165428 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:15.784+0200: 2.173: [GC (Allocation Failure) 2020-09-29T18:04:15.784+0200: 2.173: [ParNew: 582576K->55290K(613440K), 0.0285546 secs] 587653K->60367K(2029056K), 0.0286222 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:04:15.861+0200: 2.249: [GC (Allocation Failure) 2020-09-29T18:04:15.861+0200: 2.249: [ParNew: 600634K->68096K(613440K), 0.0281679 secs] 605711K->73172K(2029056K), 0.0282379 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:04:15.938+0200: 2.327: [GC (Allocation Failure) 2020-09-29T18:04:15.938+0200: 2.327: [ParNew: 613440K->47256K(613440K), 0.0201526 secs] 618516K->52333K(2029056K), 0.0202227 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:16.012+0200: 2.401: [GC (Allocation Failure) 2020-09-29T18:04:16.012+0200: 2.401: [ParNew: 592600K->66148K(613440K), 0.0262746 secs] 597677K->71224K(2029056K), 0.0263447 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:04:16.088+0200: 2.477: [GC (Allocation Failure) 2020-09-29T18:04:16.088+0200: 2.477: [ParNew: 611492K->51184K(613440K), 0.0256465 secs] 616568K->56261K(2029056K), 0.0257281 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:04:16.162+0200: 2.550: [GC (Allocation Failure) 2020-09-29T18:04:16.162+0200: 2.550: [ParNew: 596528K->40794K(613440K), 0.0246306 secs] 601605K->45870K(2029056K), 0.0247033 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:16.239+0200: 2.628: [GC (Allocation Failure) 2020-09-29T18:04:16.240+0200: 2.628: [ParNew: 586138K->37404K(613440K), 0.0161035 secs] 591214K->42480K(2029056K), 0.0162209 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:16.311+0200: 2.700: [GC (Allocation Failure) 2020-09-29T18:04:16.311+0200: 2.700: [ParNew: 582748K->37836K(613440K), 0.0214591 secs] 587824K->42913K(2029056K), 0.0215415 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:16.383+0200: 2.771: [GC (Allocation Failure) 2020-09-29T18:04:16.385+0200: 2.773: [ParNew: 583180K->49795K(613440K), 0.0217923 secs] 588257K->54872K(2029056K), 0.0238971 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:04:16.457+0200: 2.846: [GC (Allocation Failure) 2020-09-29T18:04:16.457+0200: 2.846: [ParNew: 595139K->63535K(613440K), 0.0340994 secs] 600216K->68612K(2029056K), 0.0341632 secs] [Times: user=0.38 sys=0.00, real=0.03 secs] 
2020-09-29T18:04:16.540+0200: 2.929: [GC (Allocation Failure) 2020-09-29T18:04:16.540+0200: 2.929: [ParNew: 608879K->47957K(613440K), 0.0213202 secs] 613956K->53033K(2029056K), 0.0213836 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
