Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9532192k free), swap 23213284k(9185336k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:08:45.959+0200: 0.266: [GC (Allocation Failure) 2020-09-29T18:08:45.959+0200: 0.267: [ParNew: 545344K->36686K(613440K), 0.0313453 secs] 545344K->36686K(2029056K), 0.0315017 secs] [Times: user=0.23 sys=0.02, real=0.03 secs] 
2020-09-29T18:08:46.053+0200: 0.361: [GC (Allocation Failure) 2020-09-29T18:08:46.053+0200: 0.361: [ParNew: 582030K->30069K(613440K), 0.0348581 secs] 582030K->30461K(2029056K), 0.0349663 secs] [Times: user=0.25 sys=0.00, real=0.04 secs] 
2020-09-29T18:08:46.141+0200: 0.449: [GC (Allocation Failure) 2020-09-29T18:08:46.141+0200: 0.449: [ParNew: 575413K->48750K(613440K), 0.0233630 secs] 575805K->49142K(2029056K), 0.0234405 secs] [Times: user=0.23 sys=0.02, real=0.02 secs] 
2020-09-29T18:08:46.215+0200: 0.523: [GC (Allocation Failure) 2020-09-29T18:08:46.215+0200: 0.523: [ParNew: 594094K->26371K(613440K), 0.0100997 secs] 594486K->26764K(2029056K), 0.0101697 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T18:08:46.281+0200: 0.589: [GC (Allocation Failure) 2020-09-29T18:08:46.281+0200: 0.589: [ParNew: 571715K->38715K(613440K), 0.0185457 secs] 572108K->39107K(2029056K), 0.0186013 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:08:46.349+0200: 0.657: [GC (Allocation Failure) 2020-09-29T18:08:46.349+0200: 0.657: [ParNew: 584059K->30486K(613440K), 0.0121815 secs] 584451K->30879K(2029056K), 0.0122361 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T18:08:46.412+0200: 0.720: [GC (Allocation Failure) 2020-09-29T18:08:46.412+0200: 0.720: [ParNew: 575830K->52561K(613440K), 0.0222299 secs] 576223K->52954K(2029056K), 0.0223108 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:08:46.482+0200: 0.790: [GC (Allocation Failure) 2020-09-29T18:08:46.482+0200: 0.790: [ParNew: 597905K->42240K(613440K), 0.0179926 secs] 598298K->42633K(2029056K), 0.0180584 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:08:46.554+0200: 0.862: [GC (Allocation Failure) 2020-09-29T18:08:46.554+0200: 0.862: [ParNew: 587584K->35951K(613440K), 0.0160592 secs] 587977K->36344K(2029056K), 0.0161297 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:08:46.620+0200: 0.928: [GC (Allocation Failure) 2020-09-29T18:08:46.620+0200: 0.928: [ParNew: 581295K->55834K(613440K), 0.0209847 secs] 581688K->56226K(2029056K), 0.0210370 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:08:46.690+0200: 0.998: [GC (Allocation Failure) 2020-09-29T18:08:46.690+0200: 0.998: [ParNew: 601178K->38540K(613440K), 0.0133167 secs] 601570K->38932K(2029056K), 0.0133761 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
