Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8815060k free), swap 23213284k(7882572k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:03:33.984+0200: 0.425: [GC (Allocation Failure) 2020-09-29T13:03:33.984+0200: 0.425: [ParNew: 545344K->4417K(613440K), 0.0122483 secs] 545344K->4417K(2029056K), 0.0123939 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:34.097+0200: 0.537: [GC (Allocation Failure) 2020-09-29T13:03:34.097+0200: 0.537: [ParNew: 549761K->4301K(613440K), 0.0066636 secs] 549761K->4301K(2029056K), 0.0067228 secs] [Times: user=0.11 sys=0.02, real=0.01 secs] 
2020-09-29T13:03:34.187+0200: 0.628: [GC (Allocation Failure) 2020-09-29T13:03:34.187+0200: 0.628: [ParNew: 549645K->971K(613440K), 0.0018053 secs] 549645K->971K(2029056K), 0.0018572 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:03:34.268+0200: 0.709: [GC (Allocation Failure) 2020-09-29T13:03:34.268+0200: 0.709: [ParNew: 546315K->12615K(613440K), 0.0132327 secs] 546315K->12615K(2029056K), 0.0132931 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:34.383+0200: 0.824: [GC (Allocation Failure) 2020-09-29T13:03:34.383+0200: 0.824: [ParNew: 557959K->17827K(613440K), 0.0130420 secs] 557959K->17827K(2029056K), 0.0131257 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:34.483+0200: 0.923: [GC (Allocation Failure) 2020-09-29T13:03:34.483+0200: 0.924: [ParNew: 563171K->12657K(613440K), 0.0095595 secs] 563171K->12657K(2029056K), 0.0096199 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:34.576+0200: 1.017: [GC (Allocation Failure) 2020-09-29T13:03:34.576+0200: 1.017: [ParNew: 558001K->7902K(613440K), 0.0092117 secs] 558001K->8292K(2029056K), 0.0092729 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:34.663+0200: 1.104: [GC (Allocation Failure) 2020-09-29T13:03:34.663+0200: 1.104: [ParNew: 553246K->7454K(613440K), 0.0066660 secs] 553636K->7844K(2029056K), 0.0067209 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:34.751+0200: 1.192: [GC (Allocation Failure) 2020-09-29T13:03:34.751+0200: 1.192: [ParNew: 552798K->5823K(613440K), 0.0055299 secs] 553188K->6213K(2029056K), 0.0056183 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:34.839+0200: 1.279: [GC (Allocation Failure) 2020-09-29T13:03:34.839+0200: 1.279: [ParNew: 551167K->163K(613440K), 0.0017274 secs] 551557K->553K(2029056K), 0.0017805 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:03:34.923+0200: 1.364: [GC (Allocation Failure) 2020-09-29T13:03:34.923+0200: 1.364: [ParNew: 545507K->12286K(613440K), 0.0110142 secs] 545897K->12676K(2029056K), 0.0110691 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:35.012+0200: 1.453: [GC (Allocation Failure) 2020-09-29T13:03:35.012+0200: 1.453: [ParNew: 557630K->17306K(613440K), 0.0094755 secs] 558020K->17696K(2029056K), 0.0095311 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:35.100+0200: 1.541: [GC (Allocation Failure) 2020-09-29T13:03:35.100+0200: 1.541: [ParNew: 562650K->12235K(613440K), 0.0085409 secs] 563040K->12625K(2029056K), 0.0085964 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:35.204+0200: 1.645: [GC (Allocation Failure) 2020-09-29T13:03:35.204+0200: 1.645: [ParNew: 557579K->8412K(613440K), 0.0091799 secs] 557969K->8802K(2029056K), 0.0092379 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:35.294+0200: 1.735: [GC (Allocation Failure) 2020-09-29T13:03:35.294+0200: 1.735: [ParNew: 553756K->7464K(613440K), 0.0067790 secs] 554146K->7854K(2029056K), 0.0068784 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:35.382+0200: 1.823: [GC (Allocation Failure) 2020-09-29T13:03:35.382+0200: 1.824: [ParNew: 552808K->5985K(613440K), 0.0059613 secs] 553198K->6376K(2029056K), 0.0060159 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:35.466+0200: 1.907: [GC (Allocation Failure) 2020-09-29T13:03:35.466+0200: 1.907: [ParNew: 550697K->220K(613440K), 0.0015484 secs] 551088K->610K(2029056K), 0.0015992 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:03:35.545+0200: 1.986: [GC (Allocation Failure) 2020-09-29T13:03:35.545+0200: 1.986: [ParNew: 545564K->12019K(613440K), 0.0100423 secs] 545954K->12409K(2029056K), 0.0101236 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:35.636+0200: 2.077: [GC (Allocation Failure) 2020-09-29T13:03:35.636+0200: 2.077: [ParNew: 557363K->16923K(613440K), 0.0095862 secs] 557753K->17313K(2029056K), 0.0096432 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:35.726+0200: 2.167: [GC (Allocation Failure) 2020-09-29T13:03:35.726+0200: 2.167: [ParNew: 562267K->11920K(613440K), 0.0081904 secs] 562657K->12310K(2029056K), 0.0082633 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:35.816+0200: 2.257: [GC (Allocation Failure) 2020-09-29T13:03:35.816+0200: 2.257: [ParNew: 557264K->8094K(613440K), 0.0081029 secs] 557654K->8484K(2029056K), 0.0081776 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:35.910+0200: 2.351: [GC (Allocation Failure) 2020-09-29T13:03:35.910+0200: 2.351: [ParNew: 553438K->7105K(613440K), 0.0065266 secs] 553828K->7495K(2029056K), 0.0065828 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:35.996+0200: 2.437: [GC (Allocation Failure) 2020-09-29T13:03:35.996+0200: 2.437: [ParNew: 552449K->5596K(613440K), 0.0053452 secs] 552839K->5987K(2029056K), 0.0053993 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:03:36.081+0200: 2.522: [GC (Allocation Failure) 2020-09-29T13:03:36.081+0200: 2.522: [ParNew: 550940K->151K(613440K), 0.0019273 secs] 551331K->541K(2029056K), 0.0019794 secs] [Times: user=0.11 sys=0.00, real=0.00 secs] 
2020-09-29T13:03:36.162+0200: 2.602: [GC (Allocation Failure) 2020-09-29T13:03:36.162+0200: 2.602: [ParNew: 545495K->12217K(613440K), 0.0107518 secs] 545885K->12607K(2029056K), 0.0108057 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
