Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8874192k free), swap 23213284k(7920984k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:08:07.091+0200: 0.434: [GC (Allocation Failure) 2020-09-29T13:08:07.091+0200: 0.434: [ParNew: 545344K->4400K(613440K), 0.0161731 secs] 545344K->4400K(2029056K), 0.0163224 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2020-09-29T13:08:07.210+0200: 0.553: [GC (Allocation Failure) 2020-09-29T13:08:07.210+0200: 0.553: [ParNew: 549744K->4301K(613440K), 0.0070979 secs] 549744K->4301K(2029056K), 0.0071559 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:07.298+0200: 0.642: [GC (Allocation Failure) 2020-09-29T13:08:07.298+0200: 0.642: [ParNew: 549645K->972K(613440K), 0.0020808 secs] 549645K->972K(2029056K), 0.0021332 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:08:07.379+0200: 0.722: [GC (Allocation Failure) 2020-09-29T13:08:07.379+0200: 0.722: [ParNew: 546316K->12593K(613440K), 0.0118650 secs] 546316K->12593K(2029056K), 0.0119226 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:07.482+0200: 0.826: [GC (Allocation Failure) 2020-09-29T13:08:07.482+0200: 0.826: [ParNew: 557937K->16869K(613440K), 0.0127536 secs] 557937K->16869K(2029056K), 0.0128116 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:07.588+0200: 0.932: [GC (Allocation Failure) 2020-09-29T13:08:07.588+0200: 0.932: [ParNew: 562213K->11768K(613440K), 0.0091193 secs] 562213K->11768K(2029056K), 0.0091966 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:07.679+0200: 1.023: [GC (Allocation Failure) 2020-09-29T13:08:07.679+0200: 1.023: [ParNew: 557112K->9595K(613440K), 0.0089549 secs] 557112K->9985K(2029056K), 0.0090131 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:07.769+0200: 1.112: [GC (Allocation Failure) 2020-09-29T13:08:07.769+0200: 1.113: [ParNew: 554939K->7665K(613440K), 0.0068566 secs] 555329K->8055K(2029056K), 0.0069139 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:07.857+0200: 1.200: [GC (Allocation Failure) 2020-09-29T13:08:07.857+0200: 1.200: [ParNew: 553009K->4628K(613440K), 0.0054689 secs] 553399K->5018K(2029056K), 0.0055206 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:08:07.940+0200: 1.284: [GC (Allocation Failure) 2020-09-29T13:08:07.940+0200: 1.284: [ParNew: 549972K->147K(613440K), 0.0014063 secs] 550362K->537K(2029056K), 0.0014575 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2020-09-29T13:08:08.019+0200: 1.363: [GC (Allocation Failure) 2020-09-29T13:08:08.019+0200: 1.363: [ParNew: 545491K->12226K(613440K), 0.0102010 secs] 545881K->12616K(2029056K), 0.0102797 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
