Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8807180k free), swap 23213284k(7866144k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:03:11.416+0200: 0.428: [GC (Allocation Failure) 2020-09-29T13:03:11.416+0200: 0.428: [ParNew: 545344K->4402K(613440K), 0.0095090 secs] 545344K->4402K(2029056K), 0.0096502 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:11.518+0200: 0.530: [GC (Allocation Failure) 2020-09-29T13:03:11.518+0200: 0.530: [ParNew: 549746K->4299K(613440K), 0.0067517 secs] 549746K->4299K(2029056K), 0.0068053 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:11.606+0200: 0.618: [GC (Allocation Failure) 2020-09-29T13:03:11.606+0200: 0.618: [ParNew: 549643K->971K(613440K), 0.0020621 secs] 549643K->971K(2029056K), 0.0021142 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:03:11.688+0200: 0.701: [GC (Allocation Failure) 2020-09-29T13:03:11.688+0200: 0.701: [ParNew: 546315K->12613K(613440K), 0.0138241 secs] 546315K->12613K(2029056K), 0.0138841 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:11.798+0200: 0.810: [GC (Allocation Failure) 2020-09-29T13:03:11.798+0200: 0.810: [ParNew: 557957K->16835K(613440K), 0.0133382 secs] 557957K->16835K(2029056K), 0.0133983 secs] [Times: user=0.09 sys=0.02, real=0.01 secs] 
2020-09-29T13:03:11.900+0200: 0.912: [GC (Allocation Failure) 2020-09-29T13:03:11.900+0200: 0.912: [ParNew: 562179K->11763K(613440K), 0.0090009 secs] 562179K->11763K(2029056K), 0.0090813 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:11.987+0200: 0.999: [GC (Allocation Failure) 2020-09-29T13:03:11.987+0200: 0.999: [ParNew: 557107K->9593K(613440K), 0.0092283 secs] 557107K->9984K(2029056K), 0.0092829 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:12.076+0200: 1.088: [GC (Allocation Failure) 2020-09-29T13:03:12.076+0200: 1.088: [ParNew: 554937K->7664K(613440K), 0.0067611 secs] 555328K->8055K(2029056K), 0.0068170 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:12.162+0200: 1.174: [GC (Allocation Failure) 2020-09-29T13:03:12.162+0200: 1.174: [ParNew: 553008K->4628K(613440K), 0.0060878 secs] 553399K->5018K(2029056K), 0.0061417 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:12.248+0200: 1.260: [GC (Allocation Failure) 2020-09-29T13:03:12.248+0200: 1.260: [ParNew: 549972K->147K(613440K), 0.0021306 secs] 550362K->537K(2029056K), 0.0021824 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:03:12.330+0200: 1.343: [GC (Allocation Failure) 2020-09-29T13:03:12.330+0200: 1.343: [ParNew: 545491K->12226K(613440K), 0.0108774 secs] 545881K->12616K(2029056K), 0.0109347 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
