Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8931960k free), swap 23213284k(7954200k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:07:44.674+0200: 0.459: [GC (Allocation Failure) 2020-09-29T13:07:44.674+0200: 0.459: [ParNew: 545344K->4413K(613440K), 0.0085359 secs] 545344K->4413K(2029056K), 0.0086760 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:44.773+0200: 0.559: [GC (Allocation Failure) 2020-09-29T13:07:44.773+0200: 0.559: [ParNew: 549757K->4305K(613440K), 0.0062645 secs] 549757K->4305K(2029056K), 0.0063209 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:44.863+0200: 0.648: [GC (Allocation Failure) 2020-09-29T13:07:44.863+0200: 0.648: [ParNew: 549649K->973K(613440K), 0.0022591 secs] 549649K->973K(2029056K), 0.0023122 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2020-09-29T13:07:44.955+0200: 0.740: [GC (Allocation Failure) 2020-09-29T13:07:44.955+0200: 0.740: [ParNew: 546317K->12656K(613440K), 0.0141575 secs] 546317K->12656K(2029056K), 0.0142140 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:45.064+0200: 0.850: [GC (Allocation Failure) 2020-09-29T13:07:45.064+0200: 0.850: [ParNew: 558000K->17888K(613440K), 0.0125855 secs] 558000K->17888K(2029056K), 0.0126452 secs] [Times: user=0.08 sys=0.05, real=0.01 secs] 
2020-09-29T13:07:45.163+0200: 0.949: [GC (Allocation Failure) 2020-09-29T13:07:45.163+0200: 0.949: [ParNew: 563232K->12672K(613440K), 0.0085488 secs] 563232K->12672K(2029056K), 0.0086224 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:45.255+0200: 1.040: [GC (Allocation Failure) 2020-09-29T13:07:45.255+0200: 1.040: [ParNew: 558016K->8753K(613440K), 0.0087072 secs] 558016K->9144K(2029056K), 0.0087595 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:45.345+0200: 1.131: [GC (Allocation Failure) 2020-09-29T13:07:45.345+0200: 1.131: [ParNew: 554097K->7454K(613440K), 0.0069401 secs] 554488K->7845K(2029056K), 0.0069949 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:45.432+0200: 1.218: [GC (Allocation Failure) 2020-09-29T13:07:45.432+0200: 1.218: [ParNew: 552798K->5823K(613440K), 0.0053683 secs] 553189K->6213K(2029056K), 0.0054215 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:45.518+0200: 1.303: [GC (Allocation Failure) 2020-09-29T13:07:45.518+0200: 1.304: [ParNew: 551167K->163K(613440K), 0.0016521 secs] 551557K->553K(2029056K), 0.0017048 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
2020-09-29T13:07:45.600+0200: 1.386: [GC (Allocation Failure) 2020-09-29T13:07:45.600+0200: 1.386: [ParNew: 545507K->12204K(613440K), 0.0105847 secs] 545897K->12595K(2029056K), 0.0106411 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:45.695+0200: 1.481: [GC (Allocation Failure) 2020-09-29T13:07:45.695+0200: 1.481: [ParNew: 557548K->17306K(613440K), 0.0097917 secs] 557939K->17696K(2029056K), 0.0098652 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:45.784+0200: 1.570: [GC (Allocation Failure) 2020-09-29T13:07:45.784+0200: 1.570: [ParNew: 562650K->12235K(613440K), 0.0085126 secs] 563040K->12625K(2029056K), 0.0085685 secs] [Times: user=0.11 sys=0.02, real=0.01 secs] 
2020-09-29T13:07:45.868+0200: 1.654: [GC (Allocation Failure) 2020-09-29T13:07:45.868+0200: 1.654: [ParNew: 557579K->8412K(613440K), 0.0077160 secs] 557969K->8802K(2029056K), 0.0077724 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:45.955+0200: 1.741: [GC (Allocation Failure) 2020-09-29T13:07:45.955+0200: 1.741: [ParNew: 553756K->7464K(613440K), 0.0066008 secs] 554146K->7854K(2029056K), 0.0067168 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:46.046+0200: 1.831: [GC (Allocation Failure) 2020-09-29T13:07:46.046+0200: 1.831: [ParNew: 552808K->5985K(613440K), 0.0059965 secs] 553198K->6376K(2029056K), 0.0060517 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:46.129+0200: 1.914: [GC (Allocation Failure) 2020-09-29T13:07:46.129+0200: 1.914: [ParNew: 550697K->220K(613440K), 0.0015409 secs] 551088K->610K(2029056K), 0.0015900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:07:46.209+0200: 1.994: [GC (Allocation Failure) 2020-09-29T13:07:46.209+0200: 1.994: [ParNew: 545564K->12019K(613440K), 0.0103561 secs] 545954K->12409K(2029056K), 0.0104107 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:46.299+0200: 2.085: [GC (Allocation Failure) 2020-09-29T13:07:46.299+0200: 2.085: [ParNew: 557363K->16923K(613440K), 0.0094551 secs] 557753K->17313K(2029056K), 0.0095095 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:46.387+0200: 2.173: [GC (Allocation Failure) 2020-09-29T13:07:46.387+0200: 2.173: [ParNew: 562267K->11920K(613440K), 0.0081222 secs] 562657K->12310K(2029056K), 0.0081762 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:46.473+0200: 2.259: [GC (Allocation Failure) 2020-09-29T13:07:46.473+0200: 2.259: [ParNew: 557264K->8094K(613440K), 0.0071257 secs] 557654K->8484K(2029056K), 0.0072007 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:46.566+0200: 2.351: [GC (Allocation Failure) 2020-09-29T13:07:46.566+0200: 2.351: [ParNew: 553438K->7105K(613440K), 0.0064642 secs] 553828K->7495K(2029056K), 0.0065683 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:46.648+0200: 2.434: [GC (Allocation Failure) 2020-09-29T13:07:46.648+0200: 2.434: [ParNew: 552449K->5596K(613440K), 0.0054605 secs] 552839K->5987K(2029056K), 0.0055138 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:46.736+0200: 2.521: [GC (Allocation Failure) 2020-09-29T13:07:46.736+0200: 2.521: [ParNew: 550940K->151K(613440K), 0.0016896 secs] 551331K->541K(2029056K), 0.0017414 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:07:46.817+0200: 2.602: [GC (Allocation Failure) 2020-09-29T13:07:46.817+0200: 2.602: [ParNew: 545495K->12179K(613440K), 0.0101732 secs] 545885K->12569K(2029056K), 0.0102715 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:46.904+0200: 2.690: [GC (Allocation Failure) 2020-09-29T13:07:46.904+0200: 2.690: [ParNew: 557523K->17295K(613440K), 0.0095411 secs] 557913K->17685K(2029056K), 0.0096276 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:46.994+0200: 2.780: [GC (Allocation Failure) 2020-09-29T13:07:46.994+0200: 2.780: [ParNew: 562639K->10943K(613440K), 0.0092982 secs] 563029K->11333K(2029056K), 0.0093515 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:47.084+0200: 2.869: [GC (Allocation Failure) 2020-09-29T13:07:47.084+0200: 2.869: [ParNew: 556287K->8526K(613440K), 0.0078924 secs] 556677K->8916K(2029056K), 0.0079462 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:47.171+0200: 2.957: [GC (Allocation Failure) 2020-09-29T13:07:47.172+0200: 2.957: [ParNew: 553870K->7605K(613440K), 0.0063459 secs] 554260K->7995K(2029056K), 0.0068543 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:47.273+0200: 3.058: [GC (Allocation Failure) 2020-09-29T13:07:47.273+0200: 3.058: [ParNew: 552949K->4556K(613440K), 0.0065705 secs] 553339K->4946K(2029056K), 0.0066284 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:47.365+0200: 3.150: [GC (Allocation Failure) 2020-09-29T13:07:47.365+0200: 3.150: [ParNew: 549900K->138K(613440K), 0.0018074 secs] 550290K->529K(2029056K), 0.0018562 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:07:47.445+0200: 3.230: [GC (Allocation Failure) 2020-09-29T13:07:47.445+0200: 3.230: [ParNew: 545482K->12236K(613440K), 0.0100864 secs] 545873K->12627K(2029056K), 0.0101676 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:47.533+0200: 3.319: [GC (Allocation Failure) 2020-09-29T13:07:47.533+0200: 3.319: [ParNew: 557580K->17300K(613440K), 0.0093951 secs] 557971K->17691K(2029056K), 0.0094507 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:47.620+0200: 3.405: [GC (Allocation Failure) 2020-09-29T13:07:47.620+0200: 3.405: [ParNew: 562644K->12230K(613440K), 0.0083391 secs] 563035K->12620K(2029056K), 0.0083927 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:47.707+0200: 3.492: [GC (Allocation Failure) 2020-09-29T13:07:47.707+0200: 3.492: [ParNew: 557574K->8405K(613440K), 0.0073489 secs] 557964K->8796K(2029056K), 0.0074375 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:47.792+0200: 3.578: [GC (Allocation Failure) 2020-09-29T13:07:47.792+0200: 3.578: [ParNew: 553749K->7436K(613440K), 0.0062585 secs] 554140K->7826K(2029056K), 0.0063141 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:47.874+0200: 3.660: [GC (Allocation Failure) 2020-09-29T13:07:47.874+0200: 3.660: [ParNew: 552780K->4531K(613440K), 0.0051739 secs] 553170K->4922K(2029056K), 0.0052258 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:47.957+0200: 3.742: [GC (Allocation Failure) 2020-09-29T13:07:47.957+0200: 3.742: [ParNew: 549875K->136K(613440K), 0.0014580 secs] 550266K->526K(2029056K), 0.0015069 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2020-09-29T13:07:48.039+0200: 3.824: [GC (Allocation Failure) 2020-09-29T13:07:48.039+0200: 3.824: [ParNew: 545480K->12230K(613440K), 0.0106599 secs] 545870K->12620K(2029056K), 0.0107150 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:48.130+0200: 3.915: [GC (Allocation Failure) 2020-09-29T13:07:48.130+0200: 3.915: [ParNew: 557574K->17303K(613440K), 0.0094465 secs] 557964K->17693K(2029056K), 0.0095227 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
