Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8886284k free), swap 23213284k(7955720k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:08:51.656+0200: 0.450: [GC (Allocation Failure) 2020-09-29T13:08:51.656+0200: 0.450: [ParNew: 545344K->4411K(613440K), 0.0108801 secs] 545344K->4411K(2029056K), 0.0110255 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:51.757+0200: 0.551: [GC (Allocation Failure) 2020-09-29T13:08:51.757+0200: 0.551: [ParNew: 549755K->4299K(613440K), 0.0056967 secs] 549755K->4299K(2029056K), 0.0057511 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:51.841+0200: 0.636: [GC (Allocation Failure) 2020-09-29T13:08:51.841+0200: 0.636: [ParNew: 549643K->971K(613440K), 0.0020659 secs] 549643K->971K(2029056K), 0.0021155 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:08:51.922+0200: 0.716: [GC (Allocation Failure) 2020-09-29T13:08:51.922+0200: 0.716: [ParNew: 546315K->12650K(613440K), 0.0131678 secs] 546315K->12650K(2029056K), 0.0132267 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:52.025+0200: 0.819: [GC (Allocation Failure) 2020-09-29T13:08:52.025+0200: 0.819: [ParNew: 557994K->16829K(613440K), 0.0124924 secs] 557994K->16829K(2029056K), 0.0125561 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:52.122+0200: 0.916: [GC (Allocation Failure) 2020-09-29T13:08:52.122+0200: 0.916: [ParNew: 562173K->10672K(613440K), 0.0095906 secs] 562173K->10672K(2029056K), 0.0096476 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:52.209+0200: 1.003: [GC (Allocation Failure) 2020-09-29T13:08:52.209+0200: 1.003: [ParNew: 556016K->9593K(613440K), 0.0090735 secs] 556016K->9983K(2029056K), 0.0091622 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:52.296+0200: 1.090: [GC (Allocation Failure) 2020-09-29T13:08:52.296+0200: 1.090: [ParNew: 554937K->7664K(613440K), 0.0068039 secs] 555327K->8054K(2029056K), 0.0068603 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:52.381+0200: 1.176: [GC (Allocation Failure) 2020-09-29T13:08:52.382+0200: 1.176: [ParNew: 553008K->4628K(613440K), 0.0057038 secs] 553398K->5018K(2029056K), 0.0057833 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:52.469+0200: 1.263: [GC (Allocation Failure) 2020-09-29T13:08:52.469+0200: 1.263: [ParNew: 549972K->147K(613440K), 0.0019513 secs] 550362K->537K(2029056K), 0.0020051 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:08:52.550+0200: 1.344: [GC (Allocation Failure) 2020-09-29T13:08:52.550+0200: 1.344: [ParNew: 545491K->12226K(613440K), 0.0110672 secs] 545881K->12616K(2029056K), 0.0111640 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:52.648+0200: 1.442: [GC (Allocation Failure) 2020-09-29T13:08:52.648+0200: 1.442: [ParNew: 557570K->17290K(613440K), 0.0109211 secs] 557960K->17680K(2029056K), 0.0109792 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:52.739+0200: 1.533: [GC (Allocation Failure) 2020-09-29T13:08:52.739+0200: 1.533: [ParNew: 562634K->12231K(613440K), 0.0093066 secs] 563024K->12621K(2029056K), 0.0093609 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:52.826+0200: 1.620: [GC (Allocation Failure) 2020-09-29T13:08:52.826+0200: 1.620: [ParNew: 557575K->8411K(613440K), 0.0079009 secs] 557965K->8801K(2029056K), 0.0079562 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:52.913+0200: 1.707: [GC (Allocation Failure) 2020-09-29T13:08:52.913+0200: 1.707: [ParNew: 553755K->7464K(613440K), 0.0068636 secs] 554145K->7854K(2029056K), 0.0070130 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:53.000+0200: 1.794: [GC (Allocation Failure) 2020-09-29T13:08:53.000+0200: 1.794: [ParNew: 552808K->5985K(613440K), 0.0064289 secs] 553198K->6376K(2029056K), 0.0064848 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:53.088+0200: 1.881: [GC (Allocation Failure) 2020-09-29T13:08:53.088+0200: 1.881: [ParNew: 550697K->220K(613440K), 0.0019840 secs] 551088K->610K(2029056K), 0.0020416 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:08:53.177+0200: 1.971: [GC (Allocation Failure) 2020-09-29T13:08:53.177+0200: 1.971: [ParNew: 545564K->12019K(613440K), 0.0110523 secs] 545954K->12409K(2029056K), 0.0111222 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:53.268+0200: 2.062: [GC (Allocation Failure) 2020-09-29T13:08:53.268+0200: 2.062: [ParNew: 557363K->16923K(613440K), 0.0099513 secs] 557753K->17313K(2029056K), 0.0100069 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:53.355+0200: 2.149: [GC (Allocation Failure) 2020-09-29T13:08:53.355+0200: 2.149: [ParNew: 562267K->11920K(613440K), 0.0087682 secs] 562657K->12310K(2029056K), 0.0088434 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:53.442+0200: 2.236: [GC (Allocation Failure) 2020-09-29T13:08:53.442+0200: 2.236: [ParNew: 557264K->8094K(613440K), 0.0078869 secs] 557654K->8484K(2029056K), 0.0079408 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:53.528+0200: 2.321: [GC (Allocation Failure) 2020-09-29T13:08:53.528+0200: 2.321: [ParNew: 553438K->7105K(613440K), 0.0065815 secs] 553828K->7495K(2029056K), 0.0066370 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:53.615+0200: 2.408: [GC (Allocation Failure) 2020-09-29T13:08:53.615+0200: 2.408: [ParNew: 552449K->5596K(613440K), 0.0056276 secs] 552839K->5987K(2029056K), 0.0056825 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:08:53.704+0200: 2.497: [GC (Allocation Failure) 2020-09-29T13:08:53.704+0200: 2.497: [ParNew: 550940K->151K(613440K), 0.0017042 secs] 551331K->541K(2029056K), 0.0017736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:08:53.783+0200: 2.577: [GC (Allocation Failure) 2020-09-29T13:08:53.783+0200: 2.577: [ParNew: 545495K->12217K(613440K), 0.0109845 secs] 545885K->12607K(2029056K), 0.0110398 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
