Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8924996k free), swap 23213284k(7913252k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:06:58.311+0200: 0.430: [GC (Allocation Failure) 2020-09-29T13:06:58.311+0200: 0.430: [ParNew: 545344K->4408K(613440K), 0.0173024 secs] 545344K->4408K(2029056K), 0.0174409 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2020-09-29T13:06:58.430+0200: 0.550: [GC (Allocation Failure) 2020-09-29T13:06:58.430+0200: 0.550: [ParNew: 549752K->4302K(613440K), 0.0066834 secs] 549752K->4302K(2029056K), 0.0067387 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:58.529+0200: 0.649: [GC (Allocation Failure) 2020-09-29T13:06:58.529+0200: 0.649: [ParNew: 549646K->1069K(613440K), 0.0019962 secs] 549646K->1069K(2029056K), 0.0020544 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:58.631+0200: 0.751: [GC (Allocation Failure) 2020-09-29T13:06:58.631+0200: 0.751: [ParNew: 546413K->12621K(613440K), 0.0149958 secs] 546413K->12621K(2029056K), 0.0150564 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:58.741+0200: 0.861: [GC (Allocation Failure) 2020-09-29T13:06:58.741+0200: 0.861: [ParNew: 557965K->15885K(613440K), 0.0117952 secs] 557965K->15885K(2029056K), 0.0118495 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:58.845+0200: 0.965: [GC (Allocation Failure) 2020-09-29T13:06:58.845+0200: 0.965: [ParNew: 561229K->11769K(613440K), 0.0092486 secs] 561229K->11769K(2029056K), 0.0093032 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:58.940+0200: 1.060: [GC (Allocation Failure) 2020-09-29T13:06:58.940+0200: 1.060: [ParNew: 557113K->9595K(613440K), 0.0093258 secs] 557113K->9985K(2029056K), 0.0093811 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:59.038+0200: 1.157: [GC (Allocation Failure) 2020-09-29T13:06:59.038+0200: 1.157: [ParNew: 554939K->7665K(613440K), 0.0071031 secs] 555329K->8055K(2029056K), 0.0071590 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:59.130+0200: 1.249: [GC (Allocation Failure) 2020-09-29T13:06:59.130+0200: 1.249: [ParNew: 553009K->4628K(613440K), 0.0055069 secs] 553399K->5018K(2029056K), 0.0055623 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:59.219+0200: 1.338: [GC (Allocation Failure) 2020-09-29T13:06:59.219+0200: 1.338: [ParNew: 549972K->147K(613440K), 0.0015782 secs] 550362K->537K(2029056K), 0.0016283 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:59.303+0200: 1.423: [GC (Allocation Failure) 2020-09-29T13:06:59.303+0200: 1.423: [ParNew: 545491K->12189K(613440K), 0.0111511 secs] 545881K->12579K(2029056K), 0.0112039 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:59.399+0200: 1.519: [GC (Allocation Failure) 2020-09-29T13:06:59.400+0200: 1.519: [ParNew: 557533K->16331K(613440K), 0.0098741 secs] 557923K->16722K(2029056K), 0.0099664 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:59.496+0200: 1.616: [GC (Allocation Failure) 2020-09-29T13:06:59.497+0200: 1.616: [ParNew: 561675K->12231K(613440K), 0.0089684 secs] 562066K->12621K(2029056K), 0.0090439 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:59.594+0200: 1.713: [GC (Allocation Failure) 2020-09-29T13:06:59.594+0200: 1.713: [ParNew: 557575K->8411K(613440K), 0.0084881 secs] 557965K->8801K(2029056K), 0.0085464 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:59.690+0200: 1.810: [GC (Allocation Failure) 2020-09-29T13:06:59.690+0200: 1.810: [ParNew: 553755K->7464K(613440K), 0.0067862 secs] 554145K->7854K(2029056K), 0.0068863 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:59.800+0200: 1.919: [GC (Allocation Failure) 2020-09-29T13:06:59.800+0200: 1.919: [ParNew: 552808K->5985K(613440K), 0.0071012 secs] 553198K->6376K(2029056K), 0.0071640 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:59.896+0200: 2.016: [GC (Allocation Failure) 2020-09-29T13:06:59.896+0200: 2.016: [ParNew: 550697K->220K(613440K), 0.0022496 secs] 551088K->610K(2029056K), 0.0023033 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:59.983+0200: 2.103: [GC (Allocation Failure) 2020-09-29T13:06:59.983+0200: 2.103: [ParNew: 545564K->11964K(613440K), 0.0107553 secs] 545954K->12354K(2029056K), 0.0108126 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:00.097+0200: 2.217: [GC (Allocation Failure) 2020-09-29T13:07:00.097+0200: 2.217: [ParNew: 557308K->15987K(613440K), 0.0109243 secs] 557698K->16377K(2029056K), 0.0109831 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:00.194+0200: 2.314: [GC (Allocation Failure) 2020-09-29T13:07:00.194+0200: 2.314: [ParNew: 561331K->11920K(613440K), 0.0092102 secs] 561721K->12310K(2029056K), 0.0092649 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:00.288+0200: 2.408: [GC (Allocation Failure) 2020-09-29T13:07:00.289+0200: 2.408: [ParNew: 557264K->8094K(613440K), 0.0076014 secs] 557654K->8484K(2029056K), 0.0076659 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:00.380+0200: 2.500: [GC (Allocation Failure) 2020-09-29T13:07:00.380+0200: 2.500: [ParNew: 553438K->7105K(613440K), 0.0067052 secs] 553828K->7495K(2029056K), 0.0067749 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:00.471+0200: 2.590: [GC (Allocation Failure) 2020-09-29T13:07:00.471+0200: 2.590: [ParNew: 552449K->5596K(613440K), 0.0053771 secs] 552839K->5987K(2029056K), 0.0054293 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:00.559+0200: 2.679: [GC (Allocation Failure) 2020-09-29T13:07:00.559+0200: 2.679: [ParNew: 550940K->151K(613440K), 0.0015921 secs] 551331K->541K(2029056K), 0.0016460 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
