Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8938856k free), swap 23213284k(7902828k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:05:28.422+0200: 0.443: [GC (Allocation Failure) 2020-09-29T13:05:28.422+0200: 0.443: [ParNew: 545344K->4413K(613440K), 0.0170974 secs] 545344K->4413K(2029056K), 0.0172349 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2020-09-29T13:05:28.534+0200: 0.553: [GC (Allocation Failure) 2020-09-29T13:05:28.534+0200: 0.553: [ParNew: 549757K->4305K(613440K), 0.0062380 secs] 549757K->4305K(2029056K), 0.0062919 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
2020-09-29T13:05:28.628+0200: 0.648: [GC (Allocation Failure) 2020-09-29T13:05:28.628+0200: 0.648: [ParNew: 549649K->1070K(613440K), 0.0024470 secs] 549649K->1070K(2029056K), 0.0025012 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
2020-09-29T13:05:28.729+0200: 0.749: [GC (Allocation Failure) 2020-09-29T13:05:28.729+0200: 0.749: [ParNew: 546414K->12660K(613440K), 0.0146149 secs] 546414K->12660K(2029056K), 0.0146785 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:05:28.833+0200: 0.853: [GC (Allocation Failure) 2020-09-29T13:05:28.833+0200: 0.853: [ParNew: 558004K->15843K(613440K), 0.0123050 secs] 558004K->15843K(2029056K), 0.0123622 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:05:28.927+0200: 0.947: [GC (Allocation Failure) 2020-09-29T13:05:28.927+0200: 0.947: [ParNew: 561187K->11763K(613440K), 0.0093223 secs] 561187K->11763K(2029056K), 0.0093771 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:05:29.012+0200: 1.032: [GC (Allocation Failure) 2020-09-29T13:05:29.012+0200: 1.032: [ParNew: 557107K->9593K(613440K), 0.0096572 secs] 557107K->9984K(2029056K), 0.0097115 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:05:29.100+0200: 1.120: [GC (Allocation Failure) 2020-09-29T13:05:29.100+0200: 1.120: [ParNew: 554937K->7664K(613440K), 0.0068017 secs] 555328K->8055K(2029056K), 0.0068576 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:05:29.188+0200: 1.207: [GC (Allocation Failure) 2020-09-29T13:05:29.188+0200: 1.208: [ParNew: 553008K->4628K(613440K), 0.0060013 secs] 553399K->5018K(2029056K), 0.0060567 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:05:29.276+0200: 1.296: [GC (Allocation Failure) 2020-09-29T13:05:29.276+0200: 1.296: [ParNew: 549972K->147K(613440K), 0.0015461 secs] 550362K->537K(2029056K), 0.0015983 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:05:29.357+0200: 1.377: [GC (Allocation Failure) 2020-09-29T13:05:29.357+0200: 1.377: [ParNew: 545491K->12152K(613440K), 0.0108445 secs] 545881K->12542K(2029056K), 0.0109016 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:05:29.446+0200: 1.466: [GC (Allocation Failure) 2020-09-29T13:05:29.446+0200: 1.466: [ParNew: 557496K->15373K(613440K), 0.0099769 secs] 557886K->15763K(2029056K), 0.0100345 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:05:29.535+0200: 1.555: [GC (Allocation Failure) 2020-09-29T13:05:29.535+0200: 1.555: [ParNew: 560717K->11359K(613440K), 0.0091406 secs] 561107K->11750K(2029056K), 0.0091959 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:05:29.624+0200: 1.644: [GC (Allocation Failure) 2020-09-29T13:05:29.624+0200: 1.644: [ParNew: 556703K->9217K(613440K), 0.0080759 secs] 557094K->9607K(2029056K), 0.0081469 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:05:29.710+0200: 1.730: [GC (Allocation Failure) 2020-09-29T13:05:29.710+0200: 1.730: [ParNew: 554561K->7665K(613440K), 0.0072459 secs] 554951K->8055K(2029056K), 0.0073405 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:05:29.800+0200: 1.820: [GC (Allocation Failure) 2020-09-29T13:05:29.800+0200: 1.820: [ParNew: 553009K->6036K(613440K), 0.0066779 secs] 553399K->6426K(2029056K), 0.0067364 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:05:29.890+0200: 1.911: [GC (Allocation Failure) 2020-09-29T13:05:29.890+0200: 1.911: [ParNew: 550748K->221K(613440K), 0.0018265 secs] 551138K->611K(2029056K), 0.0018783 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:05:29.970+0200: 1.990: [GC (Allocation Failure) 2020-09-29T13:05:29.970+0200: 1.990: [ParNew: 545565K->12035K(613440K), 0.0107240 secs] 545955K->12425K(2029056K), 0.0107796 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
