Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8797948k free), swap 23213284k(7846280k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:03:57.327+0200: 0.411: [GC (Allocation Failure) 2020-09-29T13:03:57.327+0200: 0.412: [ParNew: 545344K->4409K(613440K), 0.0113749 secs] 545344K->4409K(2029056K), 0.0115095 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:57.430+0200: 0.516: [GC (Allocation Failure) 2020-09-29T13:03:57.430+0200: 0.516: [ParNew: 549753K->4594K(613440K), 0.0061022 secs] 549753K->4594K(2029056K), 0.0061563 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:57.515+0200: 0.600: [GC (Allocation Failure) 2020-09-29T13:03:57.515+0200: 0.600: [ParNew: 549938K->874K(613440K), 0.0018275 secs] 549938K->874K(2029056K), 0.0018805 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:03:57.596+0200: 0.682: [GC (Allocation Failure) 2020-09-29T13:03:57.596+0200: 0.682: [ParNew: 546218K->12720K(613440K), 0.0136363 secs] 546218K->12720K(2029056K), 0.0136942 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:57.702+0200: 0.787: [GC (Allocation Failure) 2020-09-29T13:03:57.702+0200: 0.787: [ParNew: 558064K->16891K(613440K), 0.0126554 secs] 558064K->16891K(2029056K), 0.0127219 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:57.804+0200: 0.889: [GC (Allocation Failure) 2020-09-29T13:03:57.804+0200: 0.889: [ParNew: 562235K->10680K(613440K), 0.0090802 secs] 562235K->10680K(2029056K), 0.0091402 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:57.896+0200: 0.981: [GC (Allocation Failure) 2020-09-29T13:03:57.896+0200: 0.981: [ParNew: 556024K->9595K(613440K), 0.0088062 secs] 556024K->9985K(2029056K), 0.0088635 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:57.982+0200: 1.067: [GC (Allocation Failure) 2020-09-29T13:03:57.982+0200: 1.067: [ParNew: 554939K->7665K(613440K), 0.0066770 secs] 555329K->8055K(2029056K), 0.0067316 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:58.064+0200: 1.150: [GC (Allocation Failure) 2020-09-29T13:03:58.064+0200: 1.150: [ParNew: 553009K->4628K(613440K), 0.0053570 secs] 553399K->5018K(2029056K), 0.0054100 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:03:58.147+0200: 1.233: [GC (Allocation Failure) 2020-09-29T13:03:58.147+0200: 1.233: [ParNew: 549972K->147K(613440K), 0.0020622 secs] 550362K->537K(2029056K), 0.0021141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:03:58.229+0200: 1.314: [GC (Allocation Failure) 2020-09-29T13:03:58.229+0200: 1.314: [ParNew: 545491K->12262K(613440K), 0.0106919 secs] 545881K->12653K(2029056K), 0.0107514 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
