Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8935044k free), swap 23213284k(7880368k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:04:42.387+0200: 0.469: [GC (Allocation Failure) 2020-09-29T13:04:42.387+0200: 0.469: [ParNew: 545344K->4414K(613440K), 0.0159610 secs] 545344K->4414K(2029056K), 0.0160890 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
2020-09-29T13:04:42.507+0200: 0.589: [GC (Allocation Failure) 2020-09-29T13:04:42.507+0200: 0.589: [ParNew: 549758K->4304K(613440K), 0.0065705 secs] 549758K->4304K(2029056K), 0.0066256 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:04:42.600+0200: 0.682: [GC (Allocation Failure) 2020-09-29T13:04:42.600+0200: 0.682: [ParNew: 549648K->972K(613440K), 0.0020940 secs] 549648K->972K(2029056K), 0.0021461 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:04:42.699+0200: 0.781: [GC (Allocation Failure) 2020-09-29T13:04:42.699+0200: 0.781: [ParNew: 546316K->12658K(613440K), 0.0133605 secs] 546316K->12658K(2029056K), 0.0134275 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T13:04:42.805+0200: 0.887: [GC (Allocation Failure) 2020-09-29T13:04:42.805+0200: 0.887: [ParNew: 558002K->16835K(613440K), 0.0114382 secs] 558002K->16835K(2029056K), 0.0115011 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:04:42.910+0200: 0.992: [GC (Allocation Failure) 2020-09-29T13:04:42.910+0200: 0.992: [ParNew: 562179K->11763K(613440K), 0.0091333 secs] 562179K->11763K(2029056K), 0.0091896 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2020-09-29T13:04:43.005+0200: 1.086: [GC (Allocation Failure) 2020-09-29T13:04:43.005+0200: 1.087: [ParNew: 557107K->9593K(613440K), 0.0092391 secs] 557107K->9984K(2029056K), 0.0092943 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:04:43.101+0200: 1.183: [GC (Allocation Failure) 2020-09-29T13:04:43.101+0200: 1.183: [ParNew: 554937K->7664K(613440K), 0.0063781 secs] 555328K->8055K(2029056K), 0.0064327 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:04:43.193+0200: 1.275: [GC (Allocation Failure) 2020-09-29T13:04:43.193+0200: 1.275: [ParNew: 553008K->4628K(613440K), 0.0056059 secs] 553399K->5018K(2029056K), 0.0056622 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:04:43.286+0200: 1.368: [GC (Allocation Failure) 2020-09-29T13:04:43.286+0200: 1.368: [ParNew: 549972K->147K(613440K), 0.0015970 secs] 550362K->537K(2029056K), 0.0016449 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:04:43.373+0200: 1.455: [GC (Allocation Failure) 2020-09-29T13:04:43.373+0200: 1.455: [ParNew: 545491K->12299K(613440K), 0.0104434 secs] 545881K->12689K(2029056K), 0.0104972 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:04:43.470+0200: 1.552: [GC (Allocation Failure) 2020-09-29T13:04:43.470+0200: 1.552: [ParNew: 557643K->17290K(613440K), 0.0097656 secs] 558033K->17680K(2029056K), 0.0098217 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:04:43.566+0200: 1.648: [GC (Allocation Failure) 2020-09-29T13:04:43.566+0200: 1.648: [ParNew: 562634K->12231K(613440K), 0.0085313 secs] 563024K->12621K(2029056K), 0.0086028 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:04:43.659+0200: 1.741: [GC (Allocation Failure) 2020-09-29T13:04:43.659+0200: 1.741: [ParNew: 557575K->8411K(613440K), 0.0076120 secs] 557965K->8801K(2029056K), 0.0076666 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:04:43.750+0200: 1.833: [GC (Allocation Failure) 2020-09-29T13:04:43.750+0200: 1.833: [ParNew: 553755K->7464K(613440K), 0.0065813 secs] 554145K->7854K(2029056K), 0.0066820 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
