Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8925348k free), swap 23213284k(7906544k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:06:36.024+0200: 0.399: [GC (Allocation Failure) 2020-09-29T13:06:36.024+0200: 0.400: [ParNew: 545344K->4403K(613440K), 0.0099890 secs] 545344K->4403K(2029056K), 0.0101149 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:36.126+0200: 0.502: [GC (Allocation Failure) 2020-09-29T13:06:36.126+0200: 0.502: [ParNew: 549747K->4592K(613440K), 0.0060087 secs] 549747K->4592K(2029056K), 0.0060623 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:36.208+0200: 0.584: [GC (Allocation Failure) 2020-09-29T13:06:36.208+0200: 0.584: [ParNew: 549936K->971K(613440K), 0.0021541 secs] 549936K->971K(2029056K), 0.0022062 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:36.288+0200: 0.664: [GC (Allocation Failure) 2020-09-29T13:06:36.288+0200: 0.664: [ParNew: 546315K->12634K(613440K), 0.0116174 secs] 546315K->12634K(2029056K), 0.0116781 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:36.381+0200: 0.757: [GC (Allocation Failure) 2020-09-29T13:06:36.381+0200: 0.757: [ParNew: 557978K->15906K(613440K), 0.0126724 secs] 557978K->15906K(2029056K), 0.0127333 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:36.483+0200: 0.859: [GC (Allocation Failure) 2020-09-29T13:06:36.483+0200: 0.859: [ParNew: 561250K->11773K(613440K), 0.0098168 secs] 561250K->11773K(2029056K), 0.0098701 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:36.583+0200: 0.958: [GC (Allocation Failure) 2020-09-29T13:06:36.583+0200: 0.958: [ParNew: 557117K->9596K(613440K), 0.0095683 secs] 557117K->9986K(2029056K), 0.0096250 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:36.675+0200: 1.051: [GC (Allocation Failure) 2020-09-29T13:06:36.675+0200: 1.051: [ParNew: 554940K->7665K(613440K), 0.0066972 secs] 555330K->8055K(2029056K), 0.0067528 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:36.758+0200: 1.134: [GC (Allocation Failure) 2020-09-29T13:06:36.758+0200: 1.134: [ParNew: 553009K->4628K(613440K), 0.0056743 secs] 553399K->5018K(2029056K), 0.0057384 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:36.841+0200: 1.217: [GC (Allocation Failure) 2020-09-29T13:06:36.841+0200: 1.217: [ParNew: 549972K->147K(613440K), 0.0017750 secs] 550362K->537K(2029056K), 0.0018246 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:36.924+0200: 1.299: [GC (Allocation Failure) 2020-09-29T13:06:36.924+0200: 1.299: [ParNew: 545491K->12262K(613440K), 0.0108840 secs] 545881K->12653K(2029056K), 0.0109379 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:37.015+0200: 1.390: [GC (Allocation Failure) 2020-09-29T13:06:37.015+0200: 1.390: [ParNew: 557606K->17290K(613440K), 0.0097392 secs] 557997K->17680K(2029056K), 0.0097926 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:37.101+0200: 1.476: [GC (Allocation Failure) 2020-09-29T13:06:37.101+0200: 1.477: [ParNew: 562634K->12231K(613440K), 0.0086738 secs] 563024K->12621K(2029056K), 0.0087289 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:37.186+0200: 1.561: [GC (Allocation Failure) 2020-09-29T13:06:37.186+0200: 1.561: [ParNew: 557575K->8411K(613440K), 0.0075335 secs] 557965K->8801K(2029056K), 0.0076140 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:37.270+0200: 1.646: [GC (Allocation Failure) 2020-09-29T13:06:37.270+0200: 1.646: [ParNew: 553755K->7464K(613440K), 0.0067790 secs] 554145K->7854K(2029056K), 0.0069321 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:37.353+0200: 1.729: [GC (Allocation Failure) 2020-09-29T13:06:37.353+0200: 1.729: [ParNew: 552808K->5985K(613440K), 0.0058895 secs] 553198K->6376K(2029056K), 0.0059453 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:37.436+0200: 1.811: [GC (Allocation Failure) 2020-09-29T13:06:37.436+0200: 1.811: [ParNew: 550697K->220K(613440K), 0.0014125 secs] 551088K->610K(2029056K), 0.0014634 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:37.513+0200: 1.889: [GC (Allocation Failure) 2020-09-29T13:06:37.513+0200: 1.889: [ParNew: 545564K->11964K(613440K), 0.0101513 secs] 545954K->12354K(2029056K), 0.0102061 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:37.608+0200: 1.984: [GC (Allocation Failure) 2020-09-29T13:06:37.608+0200: 1.984: [ParNew: 557308K->15987K(613440K), 0.0106062 secs] 557698K->16377K(2029056K), 0.0106651 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:37.700+0200: 2.075: [GC (Allocation Failure) 2020-09-29T13:06:37.700+0200: 2.076: [ParNew: 561331K->11920K(613440K), 0.0084390 secs] 561721K->12310K(2029056K), 0.0084955 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:37.785+0200: 2.161: [GC (Allocation Failure) 2020-09-29T13:06:37.785+0200: 2.161: [ParNew: 557264K->8094K(613440K), 0.0075221 secs] 557654K->8484K(2029056K), 0.0076270 secs] [Times: user=0.06 sys=0.02, real=0.01 secs] 
2020-09-29T13:06:37.869+0200: 2.245: [GC (Allocation Failure) 2020-09-29T13:06:37.869+0200: 2.245: [ParNew: 553438K->7105K(613440K), 0.0067534 secs] 553828K->7495K(2029056K), 0.0068077 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:37.957+0200: 2.333: [GC (Allocation Failure) 2020-09-29T13:06:37.957+0200: 2.333: [ParNew: 552449K->5596K(613440K), 0.0052874 secs] 552839K->5987K(2029056K), 0.0053454 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:38.040+0200: 2.416: [GC (Allocation Failure) 2020-09-29T13:06:38.040+0200: 2.416: [ParNew: 550940K->151K(613440K), 0.0017051 secs] 551331K->541K(2029056K), 0.0017561 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:38.118+0200: 2.494: [GC (Allocation Failure) 2020-09-29T13:06:38.118+0200: 2.494: [ParNew: 545495K->12217K(613440K), 0.0102888 secs] 545885K->12607K(2029056K), 0.0103531 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:38.207+0200: 2.583: [GC (Allocation Failure) 2020-09-29T13:06:38.207+0200: 2.583: [ParNew: 557561K->17295K(613440K), 0.0094259 secs] 557951K->17685K(2029056K), 0.0094818 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:38.294+0200: 2.670: [GC (Allocation Failure) 2020-09-29T13:06:38.294+0200: 2.670: [ParNew: 562639K->12228K(613440K), 0.0087003 secs] 563029K->12618K(2029056K), 0.0087550 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:38.380+0200: 2.755: [GC (Allocation Failure) 2020-09-29T13:06:38.380+0200: 2.755: [ParNew: 557572K->8526K(613440K), 0.0079515 secs] 557962K->8916K(2029056K), 0.0080079 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:38.467+0200: 2.843: [GC (Allocation Failure) 2020-09-29T13:06:38.467+0200: 2.843: [ParNew: 553870K->7605K(613440K), 0.0065774 secs] 554260K->7995K(2029056K), 0.0066325 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:38.553+0200: 2.929: [GC (Allocation Failure) 2020-09-29T13:06:38.553+0200: 2.929: [ParNew: 552949K->4556K(613440K), 0.0055513 secs] 553339K->4946K(2029056K), 0.0056056 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:38.643+0200: 3.018: [GC (Allocation Failure) 2020-09-29T13:06:38.643+0200: 3.018: [ParNew: 549900K->138K(613440K), 0.0014714 secs] 550290K->529K(2029056K), 0.0015249 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:38.725+0200: 3.100: [GC (Allocation Failure) 2020-09-29T13:06:38.725+0200: 3.100: [ParNew: 545482K->12202K(613440K), 0.0106805 secs] 545873K->12592K(2029056K), 0.0107347 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:38.813+0200: 3.188: [GC (Allocation Failure) 2020-09-29T13:06:38.813+0200: 3.188: [ParNew: 557546K->17300K(613440K), 0.0095070 secs] 557936K->17691K(2029056K), 0.0095631 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:38.899+0200: 3.275: [GC (Allocation Failure) 2020-09-29T13:06:38.899+0200: 3.275: [ParNew: 562644K->12230K(613440K), 0.0083181 secs] 563035K->12620K(2029056K), 0.0083732 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:38.987+0200: 3.362: [GC (Allocation Failure) 2020-09-29T13:06:38.987+0200: 3.362: [ParNew: 557574K->8405K(613440K), 0.0077559 secs] 557964K->8796K(2029056K), 0.0078120 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:39.072+0200: 3.448: [GC (Allocation Failure) 2020-09-29T13:06:39.072+0200: 3.448: [ParNew: 553749K->7436K(613440K), 0.0068297 secs] 554140K->7826K(2029056K), 0.0068850 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:39.156+0200: 3.531: [GC (Allocation Failure) 2020-09-29T13:06:39.156+0200: 3.531: [ParNew: 552780K->4531K(613440K), 0.0053986 secs] 553170K->4922K(2029056K), 0.0054534 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:39.237+0200: 3.613: [GC (Allocation Failure) 2020-09-29T13:06:39.237+0200: 3.613: [ParNew: 549875K->136K(613440K), 0.0029751 secs] 550266K->526K(2029056K), 0.0030235 secs] [Times: user=0.11 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:39.316+0200: 3.692: [GC (Allocation Failure) 2020-09-29T13:06:39.316+0200: 3.692: [ParNew: 545480K->12230K(613440K), 0.0104263 secs] 545870K->12620K(2029056K), 0.0104824 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:39.417+0200: 3.793: [GC (Allocation Failure) 2020-09-29T13:06:39.417+0200: 3.793: [ParNew: 557574K->16343K(613440K), 0.0107080 secs] 557964K->16733K(2029056K), 0.0107802 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:39.512+0200: 3.888: [GC (Allocation Failure) 2020-09-29T13:06:39.512+0200: 3.888: [ParNew: 561687K->11890K(613440K), 0.0084453 secs] 562077K->12280K(2029056K), 0.0085018 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:39.602+0200: 3.978: [GC (Allocation Failure) 2020-09-29T13:06:39.602+0200: 3.978: [ParNew: 557234K->7765K(613440K), 0.0076493 secs] 557624K->8155K(2029056K), 0.0077054 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:39.692+0200: 4.068: [GC (Allocation Failure) 2020-09-29T13:06:39.692+0200: 4.068: [ParNew: 553109K->6636K(613440K), 0.0060426 secs] 553499K->7027K(2029056K), 0.0060990 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:39.778+0200: 4.154: [GC (Allocation Failure) 2020-09-29T13:06:39.778+0200: 4.154: [ParNew: 551980K->4080K(613440K), 0.0050355 secs] 552371K->4470K(2029056K), 0.0050912 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:39.860+0200: 4.236: [GC (Allocation Failure) 2020-09-29T13:06:39.860+0200: 4.236: [ParNew: 549424K->71K(613440K), 0.0017704 secs] 549814K->461K(2029056K), 0.0018206 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
