Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8885172k free), swap 23213284k(7945352k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:08:29.300+0200: 0.402: [GC (Allocation Failure) 2020-09-29T13:08:29.300+0200: 0.402: [ParNew: 545344K->4421K(613440K), 0.0105170 secs] 545344K->4421K(2029056K), 0.0106458 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:29.401+0200: 0.504: [GC (Allocation Failure) 2020-09-29T13:08:29.401+0200: 0.504: [ParNew: 549765K->4599K(613440K), 0.0059669 secs] 549765K->4599K(2029056K), 0.0060204 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:29.485+0200: 0.588: [GC (Allocation Failure) 2020-09-29T13:08:29.485+0200: 0.588: [ParNew: 549943K->973K(613440K), 0.0017531 secs] 549943K->973K(2029056K), 0.0018121 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:08:29.565+0200: 0.668: [GC (Allocation Failure) 2020-09-29T13:08:29.565+0200: 0.668: [ParNew: 546317K->12636K(613440K), 0.0125529 secs] 546317K->12636K(2029056K), 0.0126121 secs] [Times: user=0.09 sys=0.02, real=0.01 secs] 
2020-09-29T13:08:29.672+0200: 0.775: [GC (Allocation Failure) 2020-09-29T13:08:29.672+0200: 0.775: [ParNew: 557980K->15875K(613440K), 0.0126471 secs] 557980K->15875K(2029056K), 0.0127064 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:29.770+0200: 0.873: [GC (Allocation Failure) 2020-09-29T13:08:29.770+0200: 0.873: [ParNew: 561219K->11768K(613440K), 0.0093160 secs] 561219K->11768K(2029056K), 0.0093765 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:29.865+0200: 0.968: [GC (Allocation Failure) 2020-09-29T13:08:29.865+0200: 0.968: [ParNew: 557112K->9595K(613440K), 0.0098433 secs] 557112K->9985K(2029056K), 0.0099040 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:29.958+0200: 1.060: [GC (Allocation Failure) 2020-09-29T13:08:29.958+0200: 1.060: [ParNew: 554939K->7665K(613440K), 0.0076044 secs] 555329K->8055K(2029056K), 0.0076588 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:30.042+0200: 1.145: [GC (Allocation Failure) 2020-09-29T13:08:30.042+0200: 1.145: [ParNew: 553009K->4628K(613440K), 0.0054057 secs] 553399K->5018K(2029056K), 0.0054600 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:30.128+0200: 1.230: [GC (Allocation Failure) 2020-09-29T13:08:30.128+0200: 1.230: [ParNew: 549972K->147K(613440K), 0.0015501 secs] 550362K->537K(2029056K), 0.0016019 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:08:30.209+0200: 1.311: [GC (Allocation Failure) 2020-09-29T13:08:30.209+0200: 1.311: [ParNew: 545491K->12262K(613440K), 0.0111267 secs] 545881K->12653K(2029056K), 0.0111804 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:30.297+0200: 1.400: [GC (Allocation Failure) 2020-09-29T13:08:30.297+0200: 1.400: [ParNew: 557606K->17290K(613440K), 0.0098455 secs] 557997K->17680K(2029056K), 0.0098981 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:08:30.386+0200: 1.488: [GC (Allocation Failure) 2020-09-29T13:08:30.386+0200: 1.488: [ParNew: 562634K->12231K(613440K), 0.0090518 secs] 563024K->12621K(2029056K), 0.0091069 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
