Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8921752k free), swap 23213284k(7912184k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:07:22.244+0200: 0.402: [GC (Allocation Failure) 2020-09-29T13:07:22.244+0200: 0.402: [ParNew: 545344K->4410K(613440K), 0.0159621 secs] 545344K->4410K(2029056K), 0.0160986 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T13:07:22.350+0200: 0.509: [GC (Allocation Failure) 2020-09-29T13:07:22.350+0200: 0.509: [ParNew: 549754K->4593K(613440K), 0.0059664 secs] 549754K->4593K(2029056K), 0.0060219 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:22.435+0200: 0.594: [GC (Allocation Failure) 2020-09-29T13:07:22.435+0200: 0.594: [ParNew: 549937K->971K(613440K), 0.0020244 secs] 549937K->971K(2029056K), 0.0020758 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:07:22.518+0200: 0.676: [GC (Allocation Failure) 2020-09-29T13:07:22.518+0200: 0.676: [ParNew: 546315K->12649K(613440K), 0.0119243 secs] 546315K->12649K(2029056K), 0.0119829 secs] [Times: user=0.09 sys=0.02, real=0.01 secs] 
2020-09-29T13:07:22.626+0200: 0.784: [GC (Allocation Failure) 2020-09-29T13:07:22.626+0200: 0.784: [ParNew: 557993K->16835K(613440K), 0.0130077 secs] 557993K->16835K(2029056K), 0.0130895 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:22.735+0200: 0.894: [GC (Allocation Failure) 2020-09-29T13:07:22.735+0200: 0.894: [ParNew: 562179K->11763K(613440K), 0.0088766 secs] 562179K->11763K(2029056K), 0.0089359 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:22.827+0200: 0.986: [GC (Allocation Failure) 2020-09-29T13:07:22.827+0200: 0.986: [ParNew: 557107K->9593K(613440K), 0.0088968 secs] 557107K->9984K(2029056K), 0.0089517 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:22.917+0200: 1.075: [GC (Allocation Failure) 2020-09-29T13:07:22.917+0200: 1.075: [ParNew: 554937K->7664K(613440K), 0.0068924 secs] 555328K->8055K(2029056K), 0.0069496 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:23.004+0200: 1.163: [GC (Allocation Failure) 2020-09-29T13:07:23.004+0200: 1.163: [ParNew: 553008K->4628K(613440K), 0.0056438 secs] 553399K->5018K(2029056K), 0.0056981 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:07:23.086+0200: 1.245: [GC (Allocation Failure) 2020-09-29T13:07:23.086+0200: 1.245: [ParNew: 549972K->147K(613440K), 0.0020355 secs] 550362K->537K(2029056K), 0.0021270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:07:23.166+0200: 1.325: [GC (Allocation Failure) 2020-09-29T13:07:23.166+0200: 1.325: [ParNew: 545491K->12226K(613440K), 0.0106833 secs] 545881K->12616K(2029056K), 0.0107424 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
